BPLP - 1 Digit Level,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
"3160, VIC",7220,852,122,27,63,52,36,111,81,5,440,9014
"3161, VIC",9168,959,1141,479,310,585,563,337,653,97,981,15271
"3162, VIC",10160,1042,1650,613,338,654,520,291,1063,233,886,17452
"3163, VIC",17049,1405,2011,467,1359,3415,3822,431,597,199,1586,32355
"3165, VIC",17684,1146,2254,785,730,1417,1130,295,665,196,1333,27636
"3166, VIC",12826,770,2479,263,1152,2431,1930,293,302,61,1250,23759
"3167, VIC",5022,330,1048,186,527,624,751,71,180,32,497,9259
"3168, VIC",5318,360,1136,423,2291,5918,3167,188,258,18,1123,20200
"3169, VIC",7642,332,2284,746,2369,1627,3457,182,377,61,1054,20122
"3170, VIC",9962,675,1616,451,1675,1580,1944,172,253,5,1038,19370
"3171, VIC",6483,273,1047,232,7742,1507,2643,146,225,24,1384,21713
"3172, VIC",12321,934,905,315,5111,580,1280,203,352,15,1084,23091
"3173, VIC",11914,626,1295,589,5421,1369,2732,254,522,13,1053,25785
"3174, VIC",15075,948,2841,942,6976,1053,6596,479,1056,49,2453,38465
"3175, VIC",19911,1572,5287,2390,2915,1456,13681,451,1293,57,4270,53297
"3177, VIC",4798,464,939,499,641,177,2424,107,286,14,966,11305
"3178, VIC",22135,1640,1282,704,2089,1608,2133,278,598,25,1162,33669
"3179, VIC",3745,290,125,92,476,392,510,54,80,3,242,6019
"3180, VIC",4849,499,144,96,468,537,413,49,97,4,301,7462
"3181, VIC",12334,1630,1379,208,676,623,448,548,260,60,2092,20267
"3182, VIC",13176,2545,1080,253,557,562,748,797,283,64,3332,23394
"3183, VIC",11604,1457,968,406,392,366,681,697,330,76,1510,18491
"3184, VIC",10560,1468,591,164,206,214,231,439,182,39,1458,15547
"3185, VIC",8584,982,716,254,281,379,357,283,269,59,759,12932
"3186, VIC",16243,2105,938,189,394,869,246,462,334,68,1408,23258
"3187, VIC",11013,1296,896,226,291,566,249,257,324,65,805,15997
"3188, VIC",12532,1890,857,192,237,385,266,328,230,61,1094,18082
"3189, VIC",3640,302,493,98,161,327,304,83,79,19,381,5894
"3190, VIC",7122,792,634,132,225,300,302,141,168,32,596,10457
"3191, VIC",7392,1170,344,67,96,166,83,215,163,10,542,10242
"3192, VIC",15277,1461,1398,336,459,830,783,273,277,63,1142,22292
"3193, VIC",14442,2114,508,142,195,288,122,316,345,39,994,19505
"3194, VIC",8978,1040,660,185,236,425,344,198,186,36,677,12965
"3195, VIC",25709,2833,1409,332,941,895,974,410,583,35,1743,35867
"3196, VIC",18327,2082,927,216,546,343,551,301,339,43,1662,25329
"3197, VIC",8317,940,422,130,261,227,183,124,169,11,762,11547
"3198, VIC",12128,1450,454,99,251,137,156,182,143,25,1445,16462
"3199, VIC",39579,5382,1604,339,794,711,895,449,539,48,3951,54299
"3200, VIC",4060,437,187,61,89,45,86,36,42,10,711,5759
"3201, VIC",15100,1347,480,160,603,150,908,177,304,6,1471,20713
"3202, VIC",1705,164,191,51,165,165,116,46,108,6,186,2907
"3204, VIC",18980,1724,1938,518,854,2482,1632,402,553,191,1359,30642
"3205, VIC",6389,905,591,163,542,535,225,266,181,28,1082,10919
"3206, VIC",7293,940,656,52,134,109,162,191,73,8,763,10366
"3207, VIC",10677,1471,979,172,350,271,150,388,211,24,1498,16180
"3211, VIC",1004,79,51,11,3,3,9,0,0,3,151,1319
"3212, VIC",13453,1140,359,92,428,103,130,90,52,3,791,16650
"3213, VIC",3125,194,248,38,63,17,34,8,14,5,279,4032
"3214, VIC",16370,1305,1304,341,1179,131,712,75,168,16,2363,23960
"3215, VIC",14259,996,2295,146,344,188,402,84,100,9,1789,20615
"3216, VIC",44945,3277,919,488,761,876,1353,330,428,14,2887,56285
"3217, VIC",5401,297,68,38,126,44,87,39,72,0,433,6607
"3218, VIC",10769,645,374,69,145,198,299,92,50,4,801,13438
"3219, VIC",15791,1220,434,52,234,63,273,72,71,4,1495,19719
"3220, VIC",12775,841,426,98,240,296,352,142,103,10,1081,16352
"3221, VIC",638,35,3,0,3,0,0,3,0,0,62,754
"3222, VIC",12106,1309,226,24,79,38,45,88,84,5,965,14962
"3223, VIC",5660,562,335,26,39,10,10,43,19,4,700,7401
"3224, VIC",11707,918,275,24,115,63,108,65,94,4,814,14187
"3225, VIC",3330,266,41,9,16,13,9,26,13,0,343,4058
"3226, VIC",12018,1015,120,18,80,51,30,86,52,0,688,14161
"3227, VIC",4041,292,23,6,15,11,19,30,25,0,365,4821
"3228, VIC",15008,1195,246,34,80,60,48,216,133,7,925,17939
"3230, VIC",2162,138,22,0,7,0,3,19,8,0,182,2548
"3231, VIC",1025,68,17,0,3,5,8,14,0,0,114,1257
"3232, VIC",829,66,26,4,13,7,17,14,9,0,132,1111
"3233, VIC",1482,180,54,3,19,22,21,19,11,0,222,2029
"3234, VIC",145,10,7,0,0,0,0,0,0,0,17,179
"3235, VIC",294,29,0,0,3,0,0,5,0,0,46,380
"3236, VIC",182,18,0,4,0,0,0,0,0,0,28,230
"3237, VIC",172,21,4,0,0,0,0,4,0,0,16,218
"3238, VIC",158,22,6,0,3,0,0,0,0,0,27,219
"3239, VIC",344,31,3,0,5,0,0,0,0,0,35,423
"3240, VIC",1764,94,13,0,8,3,0,10,4,0,127,2026
"3241, VIC",2111,158,18,0,18,0,9,7,8,0,241,2565
"3242, VIC",708,46,0,0,0,0,0,3,0,0,62,828
"3243, VIC",316,12,0,0,0,0,0,0,0,0,28,357
"3249, VIC",2747,130,21,0,3,6,4,8,6,0,277,3204
"3250, VIC",10557,297,80,79,85,82,107,24,33,0,921,12250
"3251, VIC",449,14,0,0,3,0,0,0,0,0,55,522
"3254, VIC",278,11,0,0,4,0,0,0,0,0,16,307
"3260, VIC",4139,151,13,6,24,0,7,8,0,0,417,4768
"3264, VIC",1977,42,0,0,10,3,4,4,0,0,246,2289
"3265, VIC",2279,89,4,0,12,0,0,0,5,0,232,2614
"3266, VIC",2695,77,11,0,18,0,8,12,0,0,251,3071
"3267, VIC",221,3,0,0,0,0,0,0,0,0,20,245
"3268, VIC",2219,87,17,0,20,4,0,15,9,0,229,2601
"3269, VIC",570,36,6,4,3,3,0,0,0,0,107,729
"3270, VIC",202,11,0,0,6,0,0,0,0,0,29,251
"3271, VIC",173,3,0,0,0,0,0,0,0,0,9,193
"3272, VIC",1357,48,7,3,0,0,0,6,7,0,107,1533
"3273, VIC",123,0,0,0,0,0,0,0,0,0,23,146
"3274, VIC",212,7,0,0,0,0,0,0,0,0,22,242
"3275, VIC",391,6,0,0,0,0,0,0,0,0,28,426
"3276, VIC",422,7,3,0,0,0,0,0,4,0,42,479
"3277, VIC",1655,56,0,0,7,0,0,7,0,0,198,1922
"3278, VIC",253,11,0,0,0,0,0,0,0,0,40,315
"3279, VIC",245,9,0,0,8,0,0,0,0,0,33,291
"3280, VIC",26855,926,123,64,261,465,181,88,118,16,2474,31568
"3281, VIC",1494,61,3,0,3,0,0,9,8,0,111,1702
"3282, VIC",1989,92,6,0,28,22,5,8,3,0,216,2363
"3283, VIC",1197,40,3,0,0,0,0,6,4,0,101,1361
"3284, VIC",2914,143,14,0,12,7,10,13,15,0,315,3437
"3285, VIC",994,70,10,0,12,0,4,5,11,0,108,1210
"3286, VIC",482,15,0,0,13,0,0,0,5,0,45,564
"3287, VIC",353,8,0,0,14,11,0,0,0,0,39,436
"3289, VIC",671,39,6,0,4,0,3,0,0,0,36,757
"3292, VIC",151,5,0,0,0,0,0,0,0,0,21,187
"3293, VIC",244,15,3,0,0,0,0,0,0,0,35,302
"3294, VIC",821,30,9,0,0,0,0,3,0,0,89,954
"3300, VIC",8693,321,30,12,69,49,66,34,52,3,756,10087
"3301, VIC",1077,32,4,0,6,0,0,4,0,0,86,1212
"3302, VIC",295,10,0,0,6,3,0,4,0,0,45,371
"3303, VIC",288,11,0,0,3,4,0,0,0,0,33,338
"3304, VIC",2316,100,12,0,18,0,0,4,0,3,271,2725
"3305, VIC",10785,465,71,16,117,13,61,32,56,0,1205,12815
"3309, VIC",108,0,0,0,0,0,0,4,0,0,8,126
"3310, VIC",223,12,5,0,0,0,0,0,0,0,35,272
"3311, VIC",1437,73,10,0,9,3,4,0,13,0,149,1696
"3312, VIC",859,46,3,0,9,0,0,0,0,0,117,1033
"3314, VIC",465,8,0,0,0,0,0,0,4,0,51,525
"3315, VIC",1367,66,3,0,16,0,0,7,13,0,147,1629
"3317, VIC",182,4,0,0,0,0,0,0,0,0,13,197
"3318, VIC",1099,50,3,0,0,3,6,4,3,0,103,1265
"3319, VIC",318,6,0,0,0,0,0,0,0,0,18,345
"3321, VIC",1323,82,11,3,11,0,0,0,5,0,89,1519
"3322, VIC",147,9,0,0,0,0,0,0,0,0,12,176
"3323, VIC",80,3,0,0,0,0,0,0,0,0,5,88
"3324, VIC",446,13,7,0,0,0,4,0,3,0,53,531
"3325, VIC",383,24,4,0,0,0,0,0,0,0,55,480
"3328, VIC",1444,122,32,0,4,9,5,14,0,0,87,1720
"3329, VIC",260,16,0,0,0,0,0,0,0,0,15,284
"3330, VIC",190,8,3,0,4,0,0,0,0,0,15,222
"3331, VIC",5138,336,85,9,20,10,11,6,23,0,366,5996
"3332, VIC",834,64,20,0,7,0,5,0,4,0,88,1013
"3333, VIC",680,66,13,0,0,0,0,4,0,0,63,827
"3334, VIC",429,36,9,0,0,0,0,3,0,0,76,566
"3335, VIC",3348,109,470,116,465,50,553,71,86,4,590,5859
"3337, VIC",26802,1694,1600,665,957,189,913,342,400,29,2871,36455
"3338, VIC",16636,1113,810,454,857,119,1121,208,303,21,1779,23419
"3340, VIC",17444,1227,420,36,158,45,203,116,121,12,1335,21123
"3341, VIC",1362,119,28,9,5,5,3,16,0,0,122,1666
"3342, VIC",2738,266,77,4,9,12,10,25,11,5,286,3440
"3345, VIC",903,98,34,0,3,0,5,4,0,0,110,1151
"3350, VIC",49804,2080,476,187,568,675,896,290,294,19,3852,59147
"3351, VIC",6935,427,75,15,43,12,19,20,20,7,615,8169
"3352, VIC",13890,663,136,15,76,29,45,57,51,8,1024,16000
"3355, VIC",10781,468,78,34,185,141,103,48,82,4,1087,13016
"3356, VIC",13863,583,104,84,137,79,131,46,67,3,1222,16322
"3357, VIC",3095,249,23,6,12,12,15,15,9,0,286,3714
"3360, VIC",611,67,9,0,10,0,0,3,0,0,72,765
"3361, VIC",543,34,0,0,6,0,0,0,4,0,92,680
"3363, VIC",2766,193,36,9,22,5,14,13,16,5,405,3476
"3364, VIC",1729,91,31,0,7,0,0,11,0,0,276,2149
"3370, VIC",1398,152,26,4,7,0,3,7,7,6,170,1782
"3371, VIC",765,71,12,0,5,0,0,6,0,0,127,990
"3373, VIC",1893,124,13,4,12,3,0,14,7,3,216,2291
"3374, VIC",346,23,0,0,3,0,0,0,0,0,27,399
"3375, VIC",167,5,0,0,0,0,0,0,0,0,34,206
"3377, VIC",8008,311,90,34,106,78,93,26,33,3,640,9414
"3378, VIC",127,0,0,0,0,0,0,0,0,0,19,149
"3379, VIC",582,39,3,0,4,0,0,5,0,0,169,801
"3380, VIC",5113,158,21,3,65,48,50,16,30,0,524,6033
"3381, VIC",946,76,11,0,17,6,4,0,4,0,136,1211
"3384, VIC",454,25,8,3,0,0,0,0,0,0,59,547
"3385, VIC",446,26,4,0,0,0,0,0,0,0,32,517
"3387, VIC",261,14,0,0,4,0,0,0,0,0,33,315
"3388, VIC",501,21,0,0,0,0,4,3,0,0,28,562
"3390, VIC",805,19,3,0,0,0,8,9,0,0,67,914
"3391, VIC",152,7,4,0,4,0,0,0,0,0,8,172
"3392, VIC",469,31,6,0,0,0,0,0,4,0,72,581
"3393, VIC",2261,71,17,4,3,12,27,4,3,0,275,2684
"3395, VIC",314,8,0,0,0,0,0,0,0,0,32,361
"3396, VIC",643,14,4,0,0,0,8,0,5,0,56,738
"3400, VIC",12710,290,104,38,150,51,152,40,60,11,948,14541
"3401, VIC",3998,84,10,0,29,0,3,5,3,0,281,4418
"3407, VIC",377,13,0,0,0,0,0,0,5,0,28,422
"3409, VIC",840,33,3,0,8,0,4,5,6,0,40,937
"3412, VIC",261,10,0,0,0,0,3,0,0,0,24,299
"3413, VIC",190,3,0,0,0,0,0,0,0,0,26,220
"3414, VIC",1509,56,11,3,18,3,5,8,3,0,217,1824
"3415, VIC",35,0,0,0,0,0,0,0,0,0,9,40
"3418, VIC",2346,53,9,0,141,0,17,4,21,0,173,2771
"3419, VIC",713,16,5,0,3,0,16,8,0,0,35,806
"3420, VIC",254,5,0,0,4,0,0,0,3,0,18,277
"3423, VIC",398,18,6,0,7,0,11,0,0,0,38,480
"3424, VIC",668,25,0,0,6,7,0,0,3,0,49,769
"3427, VIC",2107,114,147,27,58,9,37,11,11,0,247,2761
"3428, VIC",429,22,69,17,10,11,3,3,3,0,113,680
"3429, VIC",29432,2254,840,165,503,173,515,209,221,18,1960,36296
"3430, VIC",253,6,17,0,0,0,0,0,0,0,40,322
"3431, VIC",3349,280,69,4,17,15,8,20,7,0,176,3945
"3432, VIC",153,0,4,0,0,0,0,4,0,0,30,196
"3433, VIC",183,9,3,0,0,0,0,0,0,0,21,216
"3434, VIC",4216,287,81,13,24,10,21,35,15,0,367,5070
"3435, VIC",2353,167,37,5,17,0,0,7,4,0,281,2878
"3437, VIC",8576,688,218,22,73,47,45,72,53,0,647,10445
"3438, VIC",2016,171,20,0,7,10,3,24,17,0,112,2386
"3440, VIC",1659,143,24,3,3,4,5,8,7,0,182,2040
"3441, VIC",1029,154,32,0,8,6,3,14,8,0,88,1337
"3442, VIC",5804,613,98,10,52,11,25,64,51,0,737,7463
"3444, VIC",7280,579,127,22,73,90,62,48,35,0,874,9197
"3446, VIC",824,72,13,0,4,0,3,4,3,0,107,1028
"3447, VIC",358,34,3,0,0,0,0,7,0,0,47,448
"3448, VIC",699,59,19,0,12,0,0,0,4,0,76,878
"3450, VIC",5420,380,36,26,40,57,38,54,20,0,750,6838
"3451, VIC",4566,279,70,40,72,66,29,24,25,0,479,5654
"3453, VIC",1485,74,9,0,12,4,5,4,0,0,124,1725
"3458, VIC",1438,167,24,3,15,5,4,12,16,0,265,1947
"3460, VIC",1922,220,58,9,24,17,34,26,12,0,236,2566
"3461, VIC",3220,306,114,4,30,18,8,44,19,0,382,4150
"3462, VIC",940,93,4,0,4,0,0,7,0,0,124,1173
"3463, VIC",2001,198,15,5,17,0,6,14,10,0,169,2454
"3464, VIC",972,45,4,0,17,0,0,4,3,0,76,1118
"3465, VIC",8196,469,72,5,60,18,52,33,15,4,856,9770
"3467, VIC",989,58,12,0,6,0,0,4,3,0,126,1196
"3468, VIC",242,21,5,0,0,0,0,0,0,0,20,284
"3469, VIC",229,17,0,0,0,0,0,0,0,0,31,278
"3472, VIC",1123,139,18,0,16,3,5,6,4,0,166,1482
"3475, VIC",285,15,4,0,0,0,0,3,0,0,34,348
"3477, VIC",704,37,7,0,0,0,3,0,0,0,66,824
"3478, VIC",2131,86,22,0,26,0,9,8,0,0,173,2457
"3480, VIC",1546,31,10,0,12,5,12,9,3,0,229,1862
"3482, VIC",129,13,0,0,4,0,0,0,0,0,26,169
"3483, VIC",746,17,0,0,4,0,17,3,4,0,96,888
"3485, VIC",258,9,8,0,7,0,0,0,0,0,20,302
"3487, VIC",71,0,0,0,0,0,0,0,0,0,19,96
"3488, VIC",96,0,0,0,0,0,0,0,0,0,9,110
"3489, VIC",48,0,0,0,0,0,0,0,0,0,6,53
"3490, VIC",1115,21,0,0,3,4,14,0,0,0,136,1290
"3491, VIC",113,3,0,0,0,0,0,0,0,0,12,133
"3494, VIC",494,26,6,0,13,30,13,0,0,0,91,661
"3496, VIC",5142,141,89,28,46,14,27,14,28,0,702,6224
"3498, VIC",4504,92,154,5,46,15,23,9,9,3,460,5324
"3500, VIC",25717,796,726,364,600,306,733,65,195,7,3233,32738
"3501, VIC",1679,55,34,3,7,4,0,3,12,0,141,1939
"3505, VIC",4094,112,68,18,29,17,9,8,8,5,474,4829
"3506, VIC",28,0,0,0,0,0,0,0,0,0,3,37
"3507, VIC",134,6,0,0,3,0,0,0,0,0,16,157
"3509, VIC",202,5,0,0,0,0,0,0,0,0,24,231
"3512, VIC",314,12,4,0,0,4,0,0,6,0,37,371
"3515, VIC",1669,56,4,0,13,0,3,3,6,0,181,1940
"3516, VIC",596,15,0,0,0,0,4,0,0,0,70,694
"3517, VIC",1152,62,9,9,0,0,0,10,0,0,188,1416
"3518, VIC",1010,77,17,0,0,0,0,0,0,0,190,1307
"3520, VIC",131,4,5,0,3,0,0,0,0,0,30,179
"3521, VIC",555,30,16,3,4,0,0,5,0,0,51,660
"3522, VIC",256,19,11,0,3,0,0,0,0,0,42,334
"3523, VIC",2750,269,61,11,34,6,6,18,11,3,454,3619
"3525, VIC",1119,36,12,3,11,3,6,0,0,0,116,1302
"3527, VIC",651,21,3,0,4,3,4,0,5,0,95,785
"3529, VIC",111,0,0,0,0,0,0,0,0,0,6,120
"3530, VIC",110,0,0,0,0,0,0,0,0,0,14,125
"3531, VIC",170,3,0,0,0,0,0,0,0,0,18,191
"3533, VIC",649,25,0,0,4,0,3,0,0,0,94,779
"3537, VIC",878,22,0,0,11,0,14,3,0,0,117,1042
"3540, VIC",248,8,0,0,0,0,0,0,4,0,26,286
"3542, VIC",137,3,0,0,0,0,0,0,0,0,14,155
"3544, VIC",207,8,0,0,0,0,0,0,0,0,30,249
"3546, VIC",316,12,0,0,0,0,7,0,0,0,59,403
"3549, VIC",2281,37,88,6,342,104,72,3,5,0,582,3527
"3550, VIC",34060,1118,199,149,764,282,605,160,170,11,2812,40341
"3551, VIC",25895,828,120,36,212,85,228,86,120,3,1946,29564
"3555, VIC",16666,516,113,47,440,81,222,40,53,3,1505,19688
"3556, VIC",11151,313,30,14,161,19,41,26,24,0,1309,13087
"3557, VIC",696,10,4,0,3,0,0,0,3,0,65,785
"3558, VIC",807,19,9,0,7,0,0,0,4,0,70,916
"3559, VIC",480,9,5,0,10,0,0,0,0,0,43,545
"3561, VIC",3857,121,27,0,26,6,0,5,8,0,380,4434
"3562, VIC",234,0,3,0,0,0,0,0,0,0,38,278
"3563, VIC",723,24,4,0,3,0,0,0,0,0,51,808
"3564, VIC",13693,463,87,16,98,44,79,43,37,0,1383,15944
"3565, VIC",93,5,0,0,0,0,0,0,0,0,9,107
"3566, VIC",479,8,0,0,3,0,0,0,0,0,65,556
"3567, VIC",590,6,0,0,0,0,0,0,0,0,54,654
"3568, VIC",2621,59,9,0,19,0,17,3,0,0,215,2948
"3570, VIC",666,25,0,0,3,0,0,0,0,0,54,752
"3571, VIC",259,8,0,0,0,0,0,0,0,0,47,319
"3572, VIC",124,0,0,0,0,0,0,0,5,0,15,151
"3573, VIC",261,16,0,0,4,0,0,0,0,0,51,331
"3575, VIC",626,27,9,0,54,4,0,6,0,0,76,807
"3576, VIC",64,0,0,0,0,0,0,0,0,0,11,72
"3579, VIC",4599,123,34,3,38,7,37,10,28,0,483,5362
"3580, VIC",875,34,4,0,5,0,0,0,0,0,70,990
"3581, VIC",149,4,3,0,0,0,0,0,0,0,14,163
"3583, VIC",160,3,4,0,3,0,9,0,0,0,19,208
"3584, VIC",877,31,12,3,11,0,0,0,5,0,194,1139
"3585, VIC",8788,146,130,35,201,54,383,23,72,0,1366,11205
"3586, VIC",681,13,0,0,5,0,0,3,0,0,125,825
"3588, VIC",322,3,4,0,9,0,0,0,0,0,23,359
"3589, VIC",269,0,18,0,5,0,0,0,0,0,55,347
"3590, VIC",290,5,4,0,0,0,0,0,0,0,36,335
"3591, VIC",144,0,4,0,0,0,0,0,0,0,9,164
"3594, VIC",397,9,11,0,3,4,0,4,0,0,98,529
"3595, VIC",479,18,5,0,7,4,6,0,0,0,141,665
"3596, VIC",69,0,0,0,0,0,0,0,0,0,13,96
"3597, VIC",328,11,14,0,0,0,0,0,12,0,53,413
"3599, VIC",100,0,3,0,3,0,0,0,0,0,24,133
"3607, VIC",102,8,0,0,0,0,0,0,0,0,22,136
"3608, VIC",1955,120,42,0,28,13,12,5,6,4,231,2417
"3610, VIC",1406,57,13,12,27,0,5,12,3,0,181,1714
"3612, VIC",1350,119,27,5,22,3,0,6,3,0,178,1708
"3614, VIC",781,23,5,0,0,0,0,0,0,0,66,882
"3616, VIC",4371,150,164,45,53,7,26,19,11,0,516,5353
"3617, VIC",130,3,5,0,0,0,0,4,0,0,13,163
"3618, VIC",556,27,13,0,13,0,11,0,0,0,55,675
"3620, VIC",6953,222,132,11,69,19,34,27,12,6,763,8241
"3621, VIC",2063,67,9,0,32,10,0,0,3,0,178,2368
"3622, VIC",398,7,0,0,4,0,0,0,6,0,40,456
"3623, VIC",732,27,4,0,11,0,0,0,0,0,115,903
"3624, VIC",490,21,3,3,0,0,0,0,3,0,35,558
"3629, VIC",7438,248,151,47,122,75,126,14,21,0,883,9130
"3630, VIC",22560,702,880,913,483,287,1921,84,327,17,3095,31266
"3631, VIC",9546,244,307,135,100,74,291,34,98,3,786,11610
"3633, VIC",535,0,12,0,0,0,0,0,0,0,53,604
"3634, VIC",1548,49,23,0,8,0,6,4,6,0,160,1798
"3635, VIC",474,16,0,0,7,0,0,3,0,0,33,536
"3636, VIC",4586,162,26,12,34,8,25,14,5,0,374,5241
"3637, VIC",545,11,6,0,3,0,0,9,0,0,27,593
"3638, VIC",1811,52,18,0,15,0,3,8,12,0,158,2075
"3639, VIC",447,25,5,0,4,0,0,0,0,0,49,524
"3640, VIC",874,36,3,0,10,9,0,0,0,0,61,1000
"3641, VIC",1001,68,26,0,19,0,0,0,0,0,117,1233
"3646, VIC",511,17,8,0,0,0,0,0,0,0,45,586
"3647, VIC",26,0,0,0,3,0,8,0,0,0,4,40
"3649, VIC",359,15,3,0,4,0,6,0,0,0,51,431
"3658, VIC",5215,296,65,7,33,8,28,21,3,0,542,6221
"3659, VIC",594,25,14,6,3,0,0,0,6,0,84,734
"3660, VIC",5940,276,111,10,93,125,38,23,7,0,947,7577
"3662, VIC",914,41,4,0,15,0,3,19,5,0,84,1075
"3663, VIC",144,3,3,0,5,0,0,0,0,0,21,180
"3664, VIC",880,49,11,0,12,15,3,4,0,0,109,1072
"3665, VIC",286,16,4,0,0,0,3,0,3,0,41,357
"3666, VIC",3917,208,22,0,37,19,20,12,12,0,444,4700
"3669, VIC",1112,67,13,3,10,4,9,3,4,0,112,1337
"3670, VIC",491,19,0,0,0,0,0,0,0,0,54,571
"3672, VIC",8648,433,82,13,65,37,69,34,24,3,924,10330
"3673, VIC",1420,87,12,0,3,6,0,0,3,0,205,1729
"3675, VIC",1528,90,12,0,11,5,0,3,3,0,150,1803
"3677, VIC",15314,563,333,33,151,53,133,65,74,6,1375,18101
"3678, VIC",5316,241,103,4,47,0,11,25,15,0,603,6357
"3682, VIC",528,24,5,0,0,0,0,0,0,0,53,616
"3683, VIC",1454,108,14,0,4,0,0,11,3,0,166,1760
"3685, VIC",2396,101,5,0,11,3,5,8,3,0,184,2718
"3687, VIC",977,33,6,0,9,0,0,4,0,0,59,1098
"3688, VIC",1077,51,7,0,4,0,0,5,8,0,88,1237
"3690, VIC",28055,1303,428,74,362,120,534,112,218,10,2294,33522
"3694, VIC",64,0,0,0,0,0,0,0,0,0,20,92
"3695, VIC",430,14,0,0,0,0,0,0,0,0,26,472
"3697, VIC",482,42,10,0,3,0,0,0,3,0,28,575
"3698, VIC",671,89,22,0,6,0,5,11,0,0,62,862
"3699, VIC",842,79,17,0,15,15,3,9,7,0,138,1124
"3700, VIC",1113,62,15,0,3,0,11,9,0,0,101,1317
"3701, VIC",907,46,4,0,0,0,0,0,0,0,104,1075
"3704, VIC",17,3,0,0,0,0,0,0,0,0,0,20
"3705, VIC",215,0,0,0,0,0,6,0,0,0,34,261
"3708, VIC",54,3,0,0,0,0,0,0,0,0,3,58
"3709, VIC",237,14,0,0,0,0,0,0,0,0,34,295
"3711, VIC",390,41,8,0,3,0,0,7,0,0,47,493
"3712, VIC",289,18,0,0,3,0,0,0,0,0,33,353
"3713, VIC",734,79,23,0,11,0,12,8,10,0,153,1026
"3714, VIC",2883,226,28,9,14,14,9,17,15,0,294,3512
"3715, VIC",225,19,3,0,3,0,0,3,3,0,40,308
"3717, VIC",2180,161,29,0,22,8,0,15,9,0,237,2654
"3718, VIC",65,0,0,0,0,0,0,0,0,0,3,72
"3719, VIC",319,17,0,0,0,0,0,0,4,0,29,371
"3720, VIC",438,30,11,0,0,0,3,0,0,0,74,569
"3722, VIC",4144,279,40,4,14,39,24,23,13,0,437,5020
"3723, VIC",2245,210,48,3,33,50,9,25,14,0,369,3003
"3725, VIC",516,29,0,0,0,0,0,3,0,0,67,631
"3726, VIC",332,13,3,0,3,0,0,0,0,0,49,404
"3727, VIC",254,13,0,0,0,0,0,0,0,0,34,305
"3728, VIC",526,25,7,0,3,0,0,5,0,0,61,635
"3730, VIC",7284,356,71,4,83,12,58,16,19,0,933,8831
"3732, VIC",519,14,5,0,4,0,0,0,0,0,53,595
"3733, VIC",166,16,8,0,0,0,0,0,5,0,29,219
"3735, VIC",497,14,22,0,0,0,0,8,0,0,58,609
"3737, VIC",3377,204,257,3,38,12,13,21,8,0,364,4302
"3738, VIC",179,4,0,0,0,0,0,4,0,0,28,222
"3739, VIC",169,3,5,0,0,0,0,0,0,0,30,215
"3740, VIC",875,63,20,0,6,0,0,12,0,0,98,1075
"3741, VIC",2233,283,55,5,22,20,16,28,11,0,424,3098
"3744, VIC",369,32,5,0,0,12,0,4,0,0,30,453
"3746, VIC",316,18,0,0,0,0,0,0,0,0,40,385
"3747, VIC",3739,326,51,9,32,11,15,26,17,5,392,4628
"3749, VIC",1617,133,12,0,0,4,0,7,4,0,99,1889
"3750, VIC",4571,106,548,470,350,126,1938,82,178,6,684,9060
"3751, VIC",181,3,36,0,0,0,0,0,7,0,47,272
"3752, VIC",16244,627,1765,836,725,308,2047,158,347,6,997,24057
"3753, VIC",1791,68,100,38,43,7,59,11,20,0,184,2328
"3754, VIC",28733,1318,1108,625,899,308,1895,278,669,32,1889,37758
"3755, VIC",199,22,16,0,0,0,0,5,0,0,9,251
"3756, VIC",9353,494,292,87,147,38,215,58,104,3,1133,11926
"3757, VIC",7318,424,260,26,42,14,31,31,55,0,756,8955
"3758, VIC",1851,92,46,3,26,0,8,4,11,0,146,2182
"3759, VIC",839,92,16,3,10,5,0,6,3,0,93,1062
"3760, VIC",304,32,0,0,0,6,0,5,0,0,22,372
"3761, VIC",977,92,12,0,7,4,4,8,9,0,127,1230
"3762, VIC",89,7,7,0,0,0,0,0,0,0,27,131
"3763, VIC",1286,68,18,6,0,3,5,4,6,0,144,1536
"3764, VIC",7436,463,129,16,107,124,57,37,45,0,749,9161
"3765, VIC",5393,631,61,15,54,46,42,42,42,0,429,6764
"3766, VIC",979,124,26,3,9,6,12,16,5,0,49,1240
"3767, VIC",957,144,20,0,8,5,5,11,12,0,77,1253
"3770, VIC",2648,259,33,3,14,22,14,15,8,0,209,3222
"3775, VIC",3110,307,28,0,29,8,12,20,17,0,339,3865
"3777, VIC",8517,958,128,16,66,35,24,68,48,3,882,10753
"3778, VIC",169,17,8,0,3,0,0,0,0,0,9,199
"3779, VIC",279,46,4,5,12,5,8,0,0,0,45,394
"3781, VIC",3576,317,66,0,24,9,13,19,31,0,415,4471
"3782, VIC",6162,879,124,19,46,34,17,67,53,0,421,7824
"3783, VIC",1883,186,28,6,16,3,3,17,15,0,191,2350
"3785, VIC",46,15,0,0,0,0,0,3,0,0,15,77
"3786, VIC",1160,140,30,9,10,10,4,20,15,0,115,1520
