BPLP - 1 Digit Level,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
"2122, NSW",12581,877,783,646,2089,10787,1572,369,243,39,1176,31161
"2123, NSW",0,0,0,0,0,0,0,0,0,0,0,0
"2125, NSW",10088,837,314,351,716,2116,1029,207,316,8,400,16377
"2126, NSW",9741,1090,396,512,1195,2369,2073,305,615,12,460,18768
"2127, NSW",5940,473,344,515,908,3680,750,307,200,12,1399,14535
"2128, NSW",2337,57,91,232,236,557,238,68,77,4,273,4166
"2129, NSW",4,0,0,0,0,0,0,0,0,0,0,4
"2130, NSW",4436,434,317,94,421,538,294,179,71,3,520,7306
"2131, NSW",9707,837,1239,394,1934,4308,3138,510,200,21,1563,23839
"2132, NSW",5899,380,844,314,559,1541,325,177,56,5,507,10613
"2133, NSW",6476,362,986,510,470,1059,322,216,74,8,522,11014
"2134, NSW",4262,243,640,253,1323,6921,1234,179,51,6,909,16033
"2135, NSW",9169,420,844,695,1777,5808,4614,251,156,18,1505,25252
"2136, NSW",3809,208,524,296,378,1090,538,96,35,0,381,7367
"2137, NSW",15514,1130,1944,591,993,3267,956,403,269,14,1426,26507
"2138, NSW",7029,507,672,701,998,7383,1159,325,142,16,1095,20022
"2139, NSW",31,6,4,4,6,0,0,0,0,0,17,55
"2140, NSW",4346,212,230,223,1170,3844,4388,140,104,13,1491,16161
"2141, NSW",9814,276,741,1240,3773,7614,3148,249,254,23,1549,28675
"2142, NSW",10313,245,423,3344,1565,2147,5334,239,368,16,2302,26297
"2143, NSW",4302,115,286,659,1375,932,571,83,109,0,488,8920
"2144, NSW",11583,210,635,4729,1987,5703,9671,177,437,19,2219,37370
"2145, NSW",38131,1651,3149,4266,2979,3387,19443,795,672,48,4687,79213
"2146, NSW",9594,472,469,450,828,816,3671,171,147,8,830,17467
"2147, NSW",23682,1373,1210,1076,1692,1229,3382,409,386,16,1881,36346
"2148, NSW",33986,1732,2928,2747,4436,2035,10357,555,819,33,3430,63074
"2150, NSW",7905,410,623,1515,1575,4368,11861,346,252,34,2607,31500
"2151, NSW",11579,752,543,1235,1019,2317,1852,320,268,5,1423,21308
"2152, NSW",7131,426,318,495,505,671,849,150,162,10,499,11218
"2153, NSW",35601,2651,1485,1624,2298,5300,4256,957,852,42,1488,56556
"2154, NSW",23712,2321,1039,1141,1859,4485,2204,564,910,20,1333,39594
"2155, NSW",35442,2507,1255,1633,3064,2858,4369,845,1605,38,1838,55447
"2156, NSW",10060,876,404,199,203,259,164,146,200,10,409,12941
"2157, NSW",2818,233,154,97,22,51,23,26,48,0,266,3741
"2158, NSW",5881,583,272,186,281,404,281,136,209,9,346,8579
"2159, NSW",3988,366,114,46,51,73,15,55,86,0,169,4976
"2160, NSW",17347,419,1421,5691,1733,2061,4182,355,539,18,2200,35971
