,postcode,average_salary
330,"2440, NSW",429.26
331,"2441, NSW",467.26
332,"2443, NSW",482.26
333,"2444, NSW",582.93
334,"2445, NSW",570.56
335,"2446, NSW",507.83
336,"2447, NSW",475.82
337,"2448, NSW",486.36
338,"2449, NSW",427.73
339,"2450, NSW",553.46
340,"2452, NSW",527.54
341,"2453, NSW",472.73
342,"2454, NSW",522.04
343,"2455, NSW",548.09
344,"2456, NSW",527.57
345,"2460, NSW",481.16
346,"2462, NSW",462.25
347,"2463, NSW",483.07
348,"2464, NSW",553.32
349,"2465, NSW",437.76
350,"2466, NSW",441.48
351,"2469, NSW",421.01
352,"2470, NSW",458.60
353,"2471, NSW",442.59
354,"2472, NSW",480.00
355,"2473, NSW",523.04
356,"2474, NSW",462.93
357,"2475, NSW",341.71
358,"2476, NSW",469.65
359,"2477, NSW",573.85
360,"2478, NSW",605.15
361,"2479, NSW",647.30
362,"2480, NSW",527.89
363,"2481, NSW",611.66
364,"2482, NSW",469.34
365,"2483, NSW",532.17
366,"2484, NSW",487.32
367,"2485, NSW",533.64
368,"2486, NSW",542.80
369,"2487, NSW",625.62
370,"2488, NSW",567.93
371,"2489, NSW",531.12
372,"2490, NSW",573.01
373,"2500, NSW",641.52
374,"2502, NSW",443.86
375,"2505, NSW",531.36
376,"2506, NSW",498.88
377,"2508, NSW",752.09
378,"2515, NSW",819.65
379,"2516, NSW",744.83
380,"2517, NSW",684.74
381,"2518, NSW",616.56
382,"2519, NSW",651.15
383,"2522, NSW",209.58
384,"2525, NSW",671.68
385,"2526, NSW",651.19
386,"2527, NSW",578.59
387,"2528, NSW",513.58
388,"2529, NSW",639.39
389,"2530, NSW",579.00
390,"2533, NSW",714.64
391,"2534, NSW",684.55
392,"2535, NSW",658.05
393,"2536, NSW",508.00
394,"2537, NSW",548.71
395,"2538, NSW",520.53
396,"2539, NSW",511.63
397,"2541, NSW",498.80
398,"2545, NSW",525.94
399,"2546, NSW",506.09
400,"2548, NSW",586.20
401,"2549, NSW",535.92
402,"2550, NSW",532.11
403,"2551, NSW",474.89
404,"2555, NSW",454.59
405,"2556, NSW",594.00
406,"2557, NSW",645.19
407,"2558, NSW",597.41
408,"2559, NSW",273.14
409,"2560, NSW",560.84
410,"2563, NSW",548.11
411,"2564, NSW",466.27
412,"2565, NSW",587.70
413,"2566, NSW",554.53
414,"2567, NSW",680.40
415,"2568, NSW",702.27
416,"2569, NSW",680.90
417,"2570, NSW",705.56
418,"2571, NSW",712.16
419,"2572, NSW",607.26
420,"2573, NSW",560.59
421,"2574, NSW",600.15
422,"2575, NSW",609.54
423,"2576, NSW",741.11
424,"2577, NSW",630.14
425,"2578, NSW",621.64
426,"2579, NSW",610.80
427,"2580, NSW",581.61
428,"2581, NSW",719.90
429,"2582, NSW",759.89
430,"2583, NSW",550.03
431,"2584, NSW",589.87
432,"2585, NSW",461.39
433,"2586, NSW",564.60
