INCP Total Personal Income (weekly),Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Not applicable,Total
"3687, VIC",7,81,35,74,101,88,75,72,89,74,44,28,20,31,14,68,185,1098
"3688, VIC",3,47,46,69,74,83,80,88,114,98,71,47,29,30,10,84,256,1237
"3690, VIC",90,1722,1057,1987,2527,2430,2418,2407,2737,2438,1685,1081,723,728,267,2426,6791,33522
"3694, VIC",0,0,0,0,0,0,0,21,18,7,8,7,4,0,0,20,0,92
"3695, VIC",0,45,11,23,20,38,26,27,42,37,22,28,17,11,6,21,93,472
"3697, VIC",3,36,25,38,60,56,42,39,41,31,30,23,8,19,3,37,87,575
"3698, VIC",0,33,30,56,69,87,81,55,59,58,39,34,21,30,18,62,131,862
"3699, VIC",0,45,41,62,97,104,95,80,91,83,42,20,18,23,12,117,195,1124
"3700, VIC",4,63,43,86,108,154,103,108,96,91,59,39,30,21,6,88,224,1317
"3701, VIC",12,51,52,77,93,87,101,56,73,73,46,21,19,22,20,100,185,1075
"3704, VIC",0,3,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,20
"3705, VIC",5,15,7,22,19,20,25,12,15,12,15,13,0,5,0,24,50,261
"3708, VIC",0,4,0,9,7,5,7,3,4,0,6,3,0,0,0,6,6,58
"3709, VIC",0,10,4,37,35,24,24,12,26,20,7,12,9,7,0,28,33,295
"3711, VIC",0,22,13,30,46,44,54,35,38,32,18,15,12,13,4,58,73,493
"3712, VIC",5,15,11,24,42,41,26,23,20,28,12,10,8,10,4,29,37,353
"3713, VIC",8,42,27,58,162,124,90,94,61,42,34,15,4,13,4,151,98,1026
"3714, VIC",17,178,90,201,412,375,292,242,265,227,115,81,72,70,37,319,515,3512
"3715, VIC",3,11,8,28,25,33,23,17,15,18,9,5,3,5,8,37,39,308
"3717, VIC",22,140,88,166,273,247,209,160,168,171,116,65,44,66,48,243,430,2654
"3718, VIC",0,6,0,0,6,13,9,8,5,0,6,0,0,3,0,6,3,72
"3719, VIC",5,19,8,19,41,43,33,31,33,24,10,15,10,4,10,27,41,371
"3720, VIC",7,31,18,33,58,49,34,41,48,26,26,16,10,9,3,66,85,569
"3722, VIC",16,196,169,259,401,453,424,387,383,350,197,159,102,110,48,384,965,5020
"3723, VIC",19,248,81,199,262,236,214,196,167,197,126,75,47,68,46,336,483,3003
"3725, VIC",5,36,17,52,53,45,30,50,54,30,20,24,5,17,8,75,112,631
"3726, VIC",3,35,15,21,49,41,17,33,30,30,13,10,3,0,4,41,69,404
"3727, VIC",0,25,11,26,28,26,21,16,24,16,8,4,0,0,0,45,45,305
"3728, VIC",7,24,23,56,68,65,46,33,42,44,23,9,5,5,13,70,102,635
"3730, VIC",26,371,272,552,942,866,709,605,571,514,310,219,151,136,83,981,1514,8831
"3732, VIC",5,43,23,37,63,40,39,45,50,30,24,15,12,8,13,48,104,595
"3733, VIC",0,14,0,13,15,28,18,14,15,14,8,13,5,0,3,20,45,219
"3735, VIC",3,29,22,34,58,45,55,48,45,43,32,18,17,12,3,46,101,609
"3737, VIC",15,215,163,286,503,410,347,326,315,270,159,121,61,73,33,363,642,4302
"3738, VIC",0,7,14,19,31,12,14,13,20,11,7,4,3,0,0,16,36,222
"3739, VIC",0,7,11,16,25,14,19,14,18,15,8,10,8,0,3,21,42,215
"3740, VIC",4,38,39,64,103,83,87,76,91,65,48,30,16,18,9,102,188,1075
"3741, VIC",18,98,125,168,280,289,272,244,242,196,112,86,47,59,38,369,466,3098
"3744, VIC",3,26,14,27,27,38,46,40,32,26,21,12,7,8,5,27,91,453
"3746, VIC",4,22,17,31,40,32,25,34,22,21,22,4,3,5,3,33,48,385
"3747, VIC",14,186,137,254,386,427,340,322,322,289,202,163,116,118,54,552,750,4628
"3749, VIC",0,103,83,89,128,177,116,153,125,137,99,71,68,65,33,94,339,1889
"3750, VIC",41,846,229,442,394,357,460,624,702,701,483,322,178,183,49,566,2475,9060
"3751, VIC",0,27,11,10,26,20,21,13,21,20,14,12,3,5,5,36,36,272
"3752, VIC",105,2003,890,1225,1326,1226,1262,1482,1865,1884,1344,980,607,698,221,1189,5747,24057
"3753, VIC",10,146,64,98,113,99,118,129,176,191,135,107,57,61,25,178,623,2328
