INCP Total Personal Income (weekly),Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Not applicable,Total
"4020, QLD",81,1269,739,1299,1879,1989,1640,1504,1473,1508,1016,849,519,801,443,1903,3132,22041
"4021, QLD",36,570,347,589,865,930,748,733,665,689,352,259,181,150,47,746,1884,9784
"4022, QLD",28,377,271,426,680,655,539,460,498,443,278,212,103,130,56,614,1402,7166
"4025, QLD",3,13,3,17,11,19,31,30,50,43,12,9,5,3,6,86,19,369
"4029, QLD",0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,56,8,77
"4030, QLD",45,960,431,751,739,961,949,964,1222,1346,1026,944,620,1111,840,1053,2568,16532
"4031, QLD",57,684,406,550,591,740,672,784,951,1072,870,805,557,934,568,788,2566,13589
"4032, QLD",51,1050,399,782,1118,1165,1082,1095,1230,1262,859,740,467,600,240,1304,2332,15775
"4034, QLD",155,2906,1464,2314,2904,3060,3023,3004,3381,3443,2361,2105,1396,1859,817,2485,7785,44462
"4035, QLD",57,1726,1044,1097,1307,1281,1324,1338,1494,1674,1387,1298,951,1454,1007,962,4805,24212
"4036, QLD",27,393,204,301,445,419,416,458,548,614,367,307,155,177,39,277,1346,6499
"4037, QLD",18,570,343,347,324,316,345,414,492,575,475,441,347,505,262,265,1936,7972
"4051, QLD",61,1394,908,1214,1187,1545,1371,1444,1848,2137,1731,1523,1054,1887,1572,1530,5120,27534
"4053, QLD",112,2507,1494,2094,2535,2550,2561,2554,2972,3471,2832,2482,1697,2577,1073,2045,8424,43984
"4054, QLD",24,803,475,764,832,909,854,802,864,1033,776,763,442,692,203,556,2823,13619
"4055, QLD",42,1367,851,928,955,1050,1060,1076,1281,1508,1194,1155,819,1324,545,715,4691,20561
"4059, QLD",66,1481,435,768,659,700,886,724,739,923,672,659,466,818,604,1060,1834,13493
"4060, QLD",24,816,530,502,502,601,637,594,705,844,655,642,511,954,1056,599,2863,13034
"4061, QLD",36,1195,705,779,753,808,922,815,887,1061,864,880,695,1178,847,717,3553,16689
"4064, QLD",43,583,277,447,422,514,528,521,696,903,695,660,454,865,932,704,1592,10836
"4065, QLD",25,528,347,389,344,404,423,448,485,549,449,486,342,764,950,440,2132,9499
"4066, QLD",69,1624,523,908,838,774,963,861,1058,1243,989,937,634,1114,993,1240,1918,16697
"4067, QLD",71,1947,463,848,645,608,780,399,381,475,345,383,252,469,519,770,1070,10422
"4068, QLD",75,2527,919,1337,1156,1256,1414,1203,1337,1557,1253,1184,819,1416,1477,1271,3421,23618
"4069, QLD",88,2826,1514,1607,1416,1409,1616,1422,1663,1937,1562,1595,1237,2506,2677,1719,6832,33623
"4070, QLD",39,944,497,556,518,522,584,546,674,820,625,626,447,725,414,418,2655,11612
"4072, QLD",15,812,585,420,104,62,46,12,10,7,8,9,3,8,9,49,12,2153
"4073, QLD",29,673,397,412,362,378,413,422,503,569,425,541,354,695,437,567,1968,9138
"4074, QLD",82,1843,958,1156,1199,1230,1357,1351,1586,1719,1427,1290,912,1373,723,911,4611,23730
"4075, QLD",65,1570,851,1037,1089,1191,1207,1229,1397,1523,1218,1274,868,1431,1141,1413,4843,23352
"4076, QLD",25,413,161,389,423,345,313,331,405,321,195,143,81,101,35,3486,950,8103
"4077, QLD",180,2687,1040,2599,2526,2224,1846,2003,2007,1666,860,660,322,315,133,2702,6979,30759
"4078, QLD",95,2176,877,1379,1458,1359,1361,1607,1949,1988,1381,1147,712,913,276,1307,5814,25806
"4101, QLD",100,2082,669,1195,1264,1240,1293,1234,1307,1611,1310,1250,910,1491,1121,2171,2619,22862
"4102, QLD",33,683,229,467,524,596,483,421,510,528,401,372,224,364,213,766,850,7656
"4103, QLD",57,993,467,933,855,964,955,828,946,1190,869,759,503,783,382,1037,1788,14315
"4104, QLD",18,381,240,357,374,354,340,354,424,442,345,370,252,404,369,599,909,6536
"4105, QLD",30,767,399,752,751,841,754,763,920,1080,787,746,527,739,385,800,2266,13322
"4106, QLD",6,90,40,119,174,93,102,96,125,139,78,65,29,46,14,132,253,1595
"4107, QLD",20,376,171,322,511,433,371,389,456,470,368,280,213,269,65,390,1193,6288
"4108, QLD",55,609,215,395,501,485,418,416,412,406,275,206,109,140,21,452,907,6023
"4109, QLD",257,5513,1577,2685,2700,2535,2515,2322,2532,2417,1481,1201,712,963,515,2154,5540,37605
"4110, QLD",64,785,363,802,799,757,625,726,791,710,519,338,208,238,75,832,2279,10916
"4111, QLD",9,151,85,133,84,65,77,58,73,63,44,37,31,41,16,95,128,1182
"4112, QLD",51,931,337,465,403,379,429,460,491,516,358,327,244,327,164,279,1955,8108
"4113, QLD",176,3776,1162,1719,1955,1831,1885,1899,2171,2173,1350,1069,711,939,428,1367,5301,29915
"4114, QLD",213,2276,949,2701,2430,2288,1825,2118,1997,1416,706,330,192,145,87,2453,6941,29063
"4115, QLD",70,1706,722,1014,1020,1147,1026,1215,1512,1597,1038,885,577,684,219,715,4169,19309
"4116, QLD",149,3135,945,1329,1399,1157,1398,1679,1914,2000,1264,1046,639,824,350,1197,5521,25936
"4117, QLD",3,100,34,61,71,43,85,104,114,133,79,39,33,22,8,75,363,1365
"4118, QLD",158,2264,991,1593,1903,1716,1810,2258,2633,2495,1573,1070,594,617,178,1629,6920,30398
"4119, QLD",21,612,198,362,299,343,352,359,482,459,341,266,169,211,86,292,1474,6344
"4120, QLD",28,521,205,435,459,597,588,559,749,749,565,515,376,567,258,592,1186,8934
"4121, QLD",68,1481,828,1144,1371,1431,1355,1297,1417,1683,1401,1376,1026,1733,1073,1249,5338,25269
"4122, QLD",156,3609,1599,2443,2852,2835,2601,2612,2838,3060,2235,2100,1442,2020,774,2675,8005,43850
"4123, QLD",51,1410,625,849,1106,1014,1079,1181,1364,1469,1103,925,558,699,291,828,3926,18489
"4124, QLD",65,1505,631,999,1231,1271,1095,1351,1413,1446,992,786,464,546,181,1049,4652,19675
"4125, QLD",30,530,267,438,690,553,532,498,486,513,315,249,167,170,57,490,1165,7144
"4127, QLD",123,2020,845,1523,1701,1657,1708,1825,1972,1957,1279,1000,640,733,292,1575,5540,26375
"4128, QLD",69,1114,605,797,898,875,919,1110,1279,1424,1038,807,517,672,287,867,3235,16510
"4129, QLD",20,424,207,312,399,330,368,464,534,523,359,267,137,139,35,298,1471,6303
"4130, QLD",20,508,320,446,528,462,536,550,597,680,487,423,295,400,220,412,1654,8533
"4131, QLD",64,737,345,714,714,689,618,806,823,670,400,273,136,132,52,916,2352,10435
"4132, QLD",146,1952,751,1495,1527,1456,1536,1947,2126,1689,879,513,262,200,73,2127,7527,26216
"4133, QLD",89,1213,492,948,1289,1209,1156,1358,1431,1347,797,518,293,301,128,1270,3930,17769
"4151, QLD",43,846,442,624,789,925,933,952,1182,1425,1009,956,687,1072,830,1037,2539,16285
"4152, QLD",123,2939,1623,1987,2385,2394,2444,2405,2993,3334,2442,2415,1708,2922,1935,2382,8267,44685
"4153, QLD",17,323,169,184,213,204,245,260,315,347,239,248,167,253,151,157,891,4372
"4154, QLD",20,726,396,343,332,351,485,480,582,738,585,628,434,764,605,385,3120,10972
"4155, QLD",7,100,82,76,76,63,79,84,99,85,56,50,36,59,127,85,278,1440
"4156, QLD",14,287,157,158,128,125,132,141,177,198,163,173,114,210,165,112,684,3147
"4157, QLD",51,1193,653,1024,1377,1330,1187,1369,1621,1575,1044,841,466,637,277,841,3544,19037
"4158, QLD",8,214,90,193,248,286,239,294,331,300,199,159,102,129,60,219,684,3764
"4159, QLD",29,931,527,746,892,950,954,922,1028,1114,743,673,416,585,323,922,2724,14498
"4160, QLD",54,1298,721,894,1128,1095,1058,1190,1265,1278,929,868,561,1038,640,707,3415,18140
"4161, QLD",50,963,550,909,1125,1083,991,1212,1372,1444,873,715,412,455,135,708,3256,16251
"4163, QLD",43,922,557,774,1188,1219,1087,999,1026,1016,716,609,420,587,508,1025,2101,14798
"4164, QLD",31,1037,590,703,847,823,831,918,1051,1106,770,725,418,700,419,654,3074,14694
"4165, QLD",120,2214,1260,1803,2448,2392,2431,2303,2579,2702,1916,1726,1098,1489,655,1987,7696,36814
"4169, QLD",60,958,339,725,737,847,763,825,962,1202,989,841,546,977,860,1201,1155,13995
"4170, QLD",75,1240,673,937,1023,1188,1182,1269,1678,1956,1525,1450,1053,1853,1263,1598,4555,24516
"4171, QLD",39,1031,494,503,530,558,606,654,886,1047,860,855,676,1304,1576,1022,3079,15722
"4172, QLD",7,263,109,204,188,221,183,262,295,352,278,213,186,250,155,265,864,4301
"4173, QLD",18,455,226,424,525,520,484,534,713,781,490,412,265,343,100,425,1551,8289
"4174, QLD",9,136,62,98,130,129,137,195,199,234,125,137,57,74,20,118,518,2382
"4178, QLD",82,1438,825,1371,1631,1785,1564,1644,1873,1887,1312,1106,796,1114,521,1578,4690,25212
"4179, QLD",53,1205,675,892,1209,1202,1080,1121,1281,1347,961,949,677,1110,625,1038,3866,19292
"4183, QLD",4,107,71,118,177,195,187,126,117,129,84,68,47,58,36,229,352,2105
"4184, QLD",48,411,203,746,1209,1007,564,424,317,249,125,112,54,51,46,581,759,6909
"4205, QLD",21,283,133,348,559,591,405,386,361,362,174,138,63,76,17,633,846,5383
"4207, QLD",220,3378,1530,3132,4185,4160,3786,4087,4310,4074,2342,1737,998,1090,414,3725,12039,55212
"4208, QLD",63,1281,652,837,1063,947,1032,1205,1398,1535,1105,923,588,674,269,1139,5257,19967
"4209, QLD",164,3263,1395,2118,2298,2240,2799,3509,3771,3730,2369,1848,1073,1503,617,3246,14123,50069
"4210, QLD",51,1244,622,878,1104,1053,1232,1317,1360,1532,967,839,488,677,337,1269,4508,19477
"4211, QLD",208,3806,1964,3305,4212,4145,4153,4548,4704,4544,2833,2248,1339,1593,739,4012,12447,60803
"4212, QLD",120,2152,934,1413,1790,1728,1754,1718,1847,1991,1359,1217,795,1228,1003,2267,4750,28053
"4213, QLD",113,1866,1117,1572,1811,1812,1832,1968,1946,1980,1355,1155,731,960,588,1949,6278,29040
"4214, QLD",180,2880,1385,2281,2705,2524,2607,2567,2868,2543,1621,1398,781,1156,521,2722,6490,37236
"4215, QLD",264,3717,1435,3436,4361,4687,3994,3774,3655,3279,1927,1406,898,1074,565,5230,6461,50173
"4216, QLD",165,2352,1010,2099,3239,3246,2912,2609,2741,2675,1683,1324,841,1241,941,3151,5205,37434
"4217, QLD",233,2840,1127,2069,2674,2953,3079,2935,3013,2844,1679,1477,958,1476,1475,5291,4710,40836
"4218, QLD",132,1744,871,1496,2063,2241,2295,2421,2603,2564,1586,1341,932,1185,1053,2940,4403,31868
"4220, QLD",87,1417,914,1592,2264,2495,2336,2161,2451,2345,1622,1377,876,1142,678,2393,5071,31236
"4221, QLD",75,1439,899,1440,1986,2207,2053,1871,1952,1944,1239,1108,725,849,420,1804,4794,26801
"4222, QLD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4223, QLD",38,775,519,781,1012,1048,1048,964,971,1005,646,545,332,404,284,908,2615,13896
"4224, QLD",20,343,226,329,471,486,495,500,524,463,313,274,152,191,103,629,1077,6590
"4225, QLD",25,349,166,465,592,825,645,593,610,555,333,257,151,203,175,1139,666,7754
"4226, QLD",132,2504,1134,1725,2239,2136,2134,2231,2444,2328,1514,1204,782,1055,635,2452,5592,32244
"4227, QLD",82,1676,823,1134,1302,1269,1308,1486,1634,1500,952,905,553,745,338,1425,4556,21689
"4228, QLD",13,338,219,288,355,326,328,311,357,344,261,211,122,215,128,435,1047,5298
"4229, QLD",3,154,58,58,15,4,7,9,6,0,4,6,0,0,0,59,0,385
"4230, QLD",3,109,42,85,133,117,134,160,169,146,73,75,45,50,23,124,186,1672
"4270, QLD",16,267,105,200,287,216,235,231,267,266,201,203,111,135,60,366,781,3944
"4271, QLD",14,138,101,207,244,238,223,181,167,175,112,121,79,87,41,239,527,2895
"4272, QLD",21,275,167,258,418,394,312,325,246,277,162,163,127,168,89,438,770,4611
"4275, QLD",18,183,113,188,245,223,230,233,217,229,167,189,88,110,32,310,652,3430
"4280, QLD",67,1339,541,839,1070,881,950,1091,1220,1297,861,684,377,468,176,1024,3975,16867
"4285, QLD",63,1191,690,1167,1648,1564,1416,1283,1418,1373,824,655,377,442,173,1585,4352,20251
"4287, QLD",7,29,16,60,71,79,41,49,44,43,26,10,12,6,10,194,128,824
"4300, QLD",224,3799,1695,2718,2727,2555,2829,3536,4219,4421,3046,2420,1489,1722,577,3294,14393,55666
"4301, QLD",186,2035,821,1543,1494,1464,1705,2059,2390,2100,1114,800,346,341,102,1755,7976,28239
"4303, QLD",26,245,103,306,517,324,209,279,240,183,83,53,29,36,11,427,860,3946
"4304, QLD",67,988,519,1094,1440,1560,1201,1294,1300,1228,727,513,256,265,93,1345,3416,17319
"4305, QLD",242,3572,1914,3618,4671,4754,4168,4275,4617,4527,2885,2106,1292,1329,413,4318,13843,62554
"4306, QLD",129,2181,1302,1883,2391,2117,2047,2087,2366,2589,1930,1649,1084,1380,585,2393,7690,35798
"4307, QLD",9,85,48,103,111,124,100,128,123,110,81,46,20,54,13,108,296,1553
"4309, QLD",13,156,115,202,278,267,216,199,175,178,95,95,37,71,33,261,624,3006
"4310, QLD",26,286,200,364,606,589,424,464,421,346,212,174,88,103,61,406,972,5756
"4311, QLD",38,632,342,759,996,889,743,684,675,602,367,258,145,150,50,1006,2264,10601
"4312, QLD",16,191,83,236,383,266,188,149,166,137,83,41,29,38,27,222,411,2668
"4313, QLD",15,153,99,204,305,223,175,143,137,111,60,44,28,26,21,170,405,2324
"4340, QLD",27,326,192,352,442,471,359,353,364,329,209,199,105,106,51,497,1069,5449
"4341, QLD",50,905,486,993,1421,1231,984,881,909,879,527,435,249,277,96,1197,3074,14589
"4342, QLD",3,161,89,217,246,208,192,174,195,145,98,54,39,13,17,290,477,2621
"4343, QLD",46,649,403,751,974,970,848,937,794,642,355,301,137,153,67,1328,2007,11359
"4344, QLD",5,138,91,162,210,177,180,188,178,190,104,82,49,55,24,247,560,2624
"4345, QLD",3,105,77,70,17,6,19,0,0,4,0,0,0,0,0,17,5,329
"4346, QLD",0,54,33,46,60,51,66,53,71,78,44,31,15,30,9,57,179,873
"4347, QLD",12,70,41,98,102,95,106,77,78,67,50,33,10,27,9,93,221,1187
"4350, QLD",384,5812,3508,5896,7734,8104,7494,7769,7732,7437,4650,4096,2545,3110,1586,8247,20646,106746
"4352, QLD",95,1654,1036,1405,1793,1593,1710,1708,1834,2032,1456,1324,875,1151,432,1568,6783,28459
"4353, QLD",10,18,9,25,20,17,24,19,21,17,6,10,4,14,3,13,60,293
"4354, QLD",8,75,43,82,114,93,66,73,78,80,52,37,21,20,4,85,257,1196
"4355, QLD",5,126,83,187,350,381,237,154,160,126,82,51,33,39,12,168,498,2681
"4356, QLD",11,242,180,253,431,409,372,382,353,312,203,155,97,128,65,485,1097,5184
"4357, QLD",14,115,79,186,223,203,178,191,161,150,80,58,33,48,34,372,471,2585
"4358, QLD",9,127,65,106,159,122,153,149,166,156,117,92,47,51,26,186,530,2264
"4359, QLD",8,75,44,76,108,87,74,106,105,67,56,40,28,33,17,92,232,1240
"4360, QLD",5,36,18,41,49,52,37,49,39,35,23,19,16,13,9,37,121,590
"4361, QLD",32,134,90,198,298,239,203,177,165,136,108,68,38,43,30,233,465,2660
"4362, QLD",20,129,80,164,261,285,205,162,154,145,86,56,32,46,23,173,455,2464
"4363, QLD",3,46,20,34,38,33,41,38,40,40,27,26,12,18,4,65,111,600
"4364, QLD",3,21,6,12,7,9,12,14,17,19,10,11,9,3,6,14,51,218
"4365, QLD",3,35,21,39,88,51,29,38,29,15,17,6,5,5,0,51,69,507
"4370, QLD",70,910,667,1259,1832,1627,1426,1472,1346,1096,589,458,247,259,139,1384,3734,18526
"4371, QLD",4,42,36,59,73,69,46,71,43,35,13,18,9,11,5,56,118,710
"4372, QLD",0,6,4,12,8,16,24,18,11,11,0,0,5,0,0,13,27,163
"4373, QLD",3,60,32,83,160,86,102,81,60,50,24,16,5,8,10,89,161,1033
"4374, QLD",4,16,14,35,35,37,28,14,28,25,3,15,6,7,4,36,43,358
"4376, QLD",0,17,10,26,40,44,29,20,34,18,3,0,0,0,0,24,49,319
"4378, QLD",3,17,19,54,58,43,49,40,35,24,13,15,6,4,0,29,91,510
"4381, QLD",0,33,25,54,70,64,45,39,37,33,12,16,8,6,5,41,108,598
"4382, QLD",8,24,20,44,67,34,59,36,39,21,13,11,9,3,3,34,90,518
"4384, QLD",0,6,0,4,13,3,4,0,3,0,6,0,0,0,0,7,15,62
"4387, QLD",22,66,41,67,112,117,102,121,73,80,56,35,4,13,9,139,227,1287
"4388, QLD",11,29,10,37,43,43,36,12,15,21,14,4,0,4,0,30,96,418
"4390, QLD",40,290,190,320,395,412,415,478,536,577,311,247,132,181,97,700,1553,6877
"4400, QLD",5,110,72,117,138,117,142,150,137,154,77,59,36,41,17,96,414,1889
"4401, QLD",43,357,188,328,458,430,358,415,471,410,220,150,83,120,39,425,1219,5720
"4402, QLD",9,25,5,21,60,31,19,23,8,6,6,5,10,4,5,22,46,291
"4403, QLD",11,25,20,48,67,55,56,57,57,55,25,22,14,18,16,73,189,810
"4404, QLD",0,20,11,23,33,22,38,40,57,47,31,20,9,13,3,53,123,539
"4405, QLD",50,745,486,807,1005,995,855,933,1028,980,627,497,304,438,197,1173,3359,14486
"4406, QLD",26,101,33,94,94,91,94,95,98,100,28,50,31,18,18,157,316,1466
"4407, QLD",7,29,12,31,44,35,32,36,46,44,26,18,8,13,8,54,89,529
"4408, QLD",12,35,21,31,60,62,27,39,42,37,16,20,9,8,10,61,131,630
"4410, QLD",9,48,35,82,127,145,86,63,90,57,25,24,19,21,11,107,174,1124
"4411, QLD",0,13,8,14,17,21,12,9,16,26,16,10,4,10,5,28,82,291
"4412, QLD",10,16,12,6,6,16,13,18,13,10,6,5,4,3,7,7,41,191
"4413, QLD",36,424,259,383,527,523,464,388,412,496,298,275,200,334,168,930,1902,8025
"4415, QLD",15,81,57,95,125,128,125,136,132,128,77,53,44,64,33,254,441,1987
"4416, QLD",3,26,14,31,18,16,23,21,52,48,27,18,12,10,16,56,100,502
"4417, QLD",3,32,23,38,67,44,58,50,45,43,32,17,14,13,8,50,136,666
"4418, QLD",7,9,6,10,11,5,11,8,7,4,6,0,3,0,0,3,21,109
"4419, QLD",14,50,25,24,33,45,54,70,66,70,47,33,37,56,40,156,133,946
"4420, QLD",22,47,48,64,86,78,77,88,87,104,48,45,24,24,26,95,226,1174
"4421, QLD",12,118,64,196,275,242,141,115,88,96,68,26,19,24,32,559,417,2480
"4422, QLD",6,26,11,23,45,30,25,24,26,41,11,17,8,9,9,37,121,485
"4423, QLD",0,9,6,12,15,9,16,11,20,14,5,3,4,8,4,17,42,198
"4424, QLD",7,8,11,6,23,25,12,16,4,12,6,9,3,5,7,18,65,236
"4425, QLD",3,11,0,12,20,18,15,9,20,8,13,3,11,3,3,20,52,220
"4426, QLD",4,17,3,7,13,11,6,13,8,10,0,6,0,9,0,9,21,126
"4427, QLD",9,19,4,25,17,28,19,13,20,21,14,14,3,9,9,84,57,352
"4428, QLD",9,24,13,33,65,43,39,32,41,36,41,17,12,28,18,64,146,664
"4454, QLD",11,22,12,33,45,43,52,41,50,69,23,25,17,32,12,88,125,703
"4455, QLD",47,348,235,341,409,397,499,515,596,669,486,407,234,365,155,881,1925,8488
"4461, QLD",0,8,4,0,9,3,4,6,6,3,0,0,3,0,0,5,7,52
"4462, QLD",5,18,0,7,10,17,12,7,3,8,4,4,0,0,0,0,16,108
"4465, QLD",28,59,37,69,92,95,103,68,80,81,47,37,23,31,18,101,245,1235
"4467, QLD",11,5,8,10,11,19,12,13,10,14,11,3,5,7,4,22,38,198
"4468, QLD",0,10,3,17,31,27,17,18,27,16,5,5,3,6,12,19,39,253
"4470, QLD",16,139,102,174,256,248,228,242,291,267,170,136,85,91,39,324,768,3574
"4472, QLD",24,61,48,96,143,152,111,103,92,105,41,38,24,20,14,118,242,1429
"4474, QLD",7,6,3,7,8,9,3,11,4,3,0,0,0,3,0,9,13,89
"4475, QLD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4477, QLD",0,30,17,24,36,48,32,38,25,39,13,10,6,11,0,42,95,471
"4478, QLD",4,15,10,30,44,33,31,43,36,44,18,19,3,6,6,35,93,472
"4479, QLD",0,6,4,0,0,3,5,0,0,0,0,0,0,0,0,0,3,15
"4480, QLD",11,28,17,34,41,58,49,57,61,69,49,25,16,29,8,59,154,755
"4481, QLD",0,5,5,6,13,7,6,8,5,19,10,3,5,0,0,9,25,124
"4482, QLD",0,7,0,9,6,9,20,15,14,13,7,4,0,5,0,12,17,141
"4486, QLD",8,41,25,42,48,45,52,43,34,39,28,34,11,19,11,103,123,709
"4487, QLD",20,156,77,150,218,201,211,213,236,238,150,113,63,65,39,242,702,3098
"4488, QLD",5,11,13,16,20,12,19,16,29,17,5,4,6,3,4,25,47,254
"4489, QLD",0,5,4,9,11,8,7,10,3,3,4,0,6,0,6,11,12,94
"4490, QLD",13,66,36,106,146,124,95,92,85,90,57,41,23,20,12,126,291,1425
"4491, QLD",5,0,5,7,5,12,15,4,3,3,9,0,6,4,5,7,13,90
"4492, QLD",8,12,9,3,19,10,18,22,33,26,20,17,4,11,8,30,55,302
"4493, QLD",0,0,0,5,0,0,0,5,5,3,0,4,0,0,0,3,0,21
"4494, QLD",0,3,4,8,10,3,4,16,20,12,9,5,0,3,5,10,49,151
"4496, QLD",4,17,10,18,17,7,20,7,26,18,8,5,3,8,6,22,65,264
"4497, QLD",3,20,3,14,21,19,18,28,22,14,17,6,11,3,12,32,70,329
"4498, QLD",3,14,4,14,9,0,6,6,24,14,17,6,3,7,4,22,52,219
"4500, QLD",124,2784,1513,2224,2441,2351,2559,2962,3299,3289,2387,1981,1091,1485,605,1851,9453,42403
"4501, QLD",22,364,181,346,415,427,416,401,495,431,268,204,97,105,27,410,1047,5660
"4502, QLD",30,526,321,486,458,489,543,563,700,699,462,431,232,299,92,417,1929,8676
"4503, QLD",139,2518,1263,2212,2778,2479,2652,3222,3723,3678,2284,1699,993,1195,417,2393,10000,43648
"4504, QLD",61,1319,753,843,922,801,937,1114,1300,1457,978,878,534,743,228,736,4972,18575
"4505, QLD",52,1379,740,1101,1744,1443,1453,1441,1520,1537,904,744,444,601,226,1173,3943,20450
"4506, QLD",78,1313,758,1404,1642,1535,1616,1551,1699,1518,858,597,355,382,156,1329,5022,21807
"4507, QLD",64,929,552,1365,2627,2218,1737,1335,1059,946,520,461,310,343,238,1475,1963,18145
"4508, QLD",99,1247,603,1259,1822,1439,1462,1488,1461,1187,659,509,252,262,110,1702,4295,19850
"4509, QLD",100,2225,902,1139,1239,1353,1506,1818,2129,2232,1672,1399,848,1334,585,1393,8231,30104
"4510, QLD",187,2815,1589,3553,4425,3867,3565,3384,3324,2864,1721,1243,680,694,323,3862,10215,48305
"4511, QLD",36,539,302,606,1062,848,676,634,587,505,336,236,162,183,90,678,1635,9094
"4512, QLD",19,187,129,205,229,217,198,218,228,225,166,140,93,110,56,363,663,3438
"4514, QLD",30,385,216,406,573,482,475,436,436,411,268,194,144,137,55,1567,1203,7406
"4515, QLD",15,219,111,285,330,358,265,289,316,322,163,122,65,74,33,301,790,4063
"4516, QLD",17,279,180,251,292,230,243,258,276,260,206,146,101,114,49,278,793,3962
"4517, QLD",4,38,15,45,74,64,66,49,49,38,40,26,13,23,10,66,136,763
"4518, QLD",15,303,188,349,480,382,359,354,344,349,225,157,100,158,57,292,952,5061
"4519, QLD",46,465,261,536,755,729,623,592,569,549,347,259,127,181,103,593,1693,8422
"4520, QLD",49,966,571,627,616,648,631,657,679,815,573,653,480,877,759,743,2857,13201
"4521, QLD",21,297,156,235,271,271,268,287,283,291,217,256,145,234,134,371,998,4731
"4550, QLD",7,237,150,325,391,326,327,298,301,273,155,155,93,89,43,316,770,4255
"4551, QLD",179,3100,1976,3299,5272,5028,4579,4033,3923,3655,2310,1966,1178,1602,873,3560,10201,56733
"4552, QLD",42,435,346,644,828,885,818,633,544,447,260,274,151,215,158,583,1164,8431
"4553, QLD",22,356,227,370,401,398,408,371,413,390,269,218,144,201,107,341,1254,5887
"4554, QLD",12,122,66,128,143,138,114,144,112,123,73,63,39,60,43,140,421,1944
"4555, QLD",22,410,283,383,502,579,486,453,497,475,301,233,138,204,115,444,1406,6926
"4556, QLD",180,2680,1620,2594,3215,3375,3059,2882,2919,2710,1922,1729,1070,1515,1070,2747,8048,43334
"4557, QLD",53,1055,649,970,1175,1302,1407,1417,1456,1377,932,747,468,648,372,1372,3588,18990
"4558, QLD",63,866,533,1157,1711,1856,1659,1624,1562,1445,793,636,396,466,271,1842,2294,19163
"4559, QLD",24,355,250,369,479,480,467,403,417,423,261,211,158,159,111,453,1298,6322
"4560, QLD",117,1694,983,2072,2797,2884,2510,2354,2277,2088,1236,956,572,697,314,2386,5778,31712
"4561, QLD",33,444,241,431,545,541,540,550,508,468,336,266,161,176,106,479,1405,7212
"4562, QLD",35,557,276,531,570,536,608,552,487,534,336,273,186,235,196,520,1607,8035
"4563, QLD",29,520,302,557,783,698,701,651,584,508,305,284,149,201,118,574,1502,8476
"4564, QLD",33,611,423,624,778,812,839,850,821,730,524,403,231,289,197,624,1795,10592
"4565, QLD",59,724,482,1017,1469,1417,1302,1157,981,885,476,407,200,242,151,1233,2297,14502
"4566, QLD",40,484,270,469,659,705,744,616,569,525,336,327,191,261,234,616,1079,8126
"4567, QLD",52,629,371,569,803,792,788,815,839,754,491,456,276,444,445,777,1720,11016
"4568, QLD",10,210,148,250,319,326,275,259,230,245,130,95,67,81,48,235,630,3558
"4569, QLD",5,83,65,116,153,140,122,120,87,106,57,42,25,24,17,120,334,1625
"4570, QLD",166,2191,1467,3256,4772,4119,3260,2809,2628,2133,1283,1007,621,711,337,3662,8001,42426
"4571, QLD",5,45,20,63,75,78,57,53,38,34,14,24,5,13,15,104,146,811
"4572, QLD",10,205,151,191,232,278,262,279,309,316,221,196,106,190,115,482,411,3957
"4573, QLD",65,1509,910,1311,1737,1835,1807,1814,1796,1816,1208,1041,636,854,517,1837,5586,26276
"4574, QLD",11,72,48,83,152,121,93,99,83,69,44,29,21,23,22,97,218,1300
"4575, QLD",70,1306,737,1280,1872,1752,1813,1680,1663,1599,1040,974,616,886,658,1609,4231,23777
"4580, QLD",24,233,145,449,947,701,417,289,207,147,73,61,42,36,28,491,585,4881
"4581, QLD",13,64,50,103,133,157,106,107,104,86,33,33,30,25,15,271,197,1525
"4600, QLD",9,55,28,101,128,101,57,45,47,35,20,15,18,15,3,61,154,895
"4601, QLD",13,82,45,88,132,113,86,84,63,61,26,16,4,16,10,102,223,1169
"4605, QLD",16,242,160,485,594,449,345,251,253,194,98,78,45,40,30,389,1177,4839
"4606, QLD",25,101,61,173,354,241,196,176,147,119,81,40,26,36,18,217,437,2448
"4608, QLD",10,36,28,76,112,95,62,56,47,65,25,19,10,19,7,87,153,909
"4610, QLD",70,694,477,1020,1401,1386,1111,1024,1020,850,476,394,249,419,159,1021,3070,14840
"4611, QLD",0,4,6,11,17,16,8,4,5,8,3,3,0,3,0,7,26,115
"4612, QLD",4,20,4,23,41,35,15,12,9,0,3,3,0,0,5,33,39,257
