OCCP - 1 Digit Level,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
"3147, VIC",1179,2384,570,601,876,587,142,334,62,47,7854,14634
"3148, VIC",552,1204,493,378,601,427,156,278,36,36,4485,8643
"3149, VIC",2265,4992,1439,1251,2155,1483,427,916,158,111,18413,33612
"3150, VIC",3959,8204,2428,2226,3737,2662,797,1611,252,222,33981,60082
"3151, VIC",548,1234,485,453,639,495,145,399,44,43,5800,10269
"3152, VIC",2119,4094,1931,1507,2536,1773,702,1118,169,95,17050,33089
"3153, VIC",944,1906,1770,1148,1503,955,679,993,89,61,10507,20552
"3154, VIC",269,405,442,234,353,207,115,182,24,11,2172,4418
"3155, VIC",1110,1987,1929,1199,1631,1062,686,1072,97,61,11354,22193
"3156, VIC",2361,3731,3161,1969,3035,2002,1094,1569,181,156,18199,37458
"3158, VIC",418,919,568,417,500,310,160,267,28,9,3048,6648
"3159, VIC",176,341,213,168,166,112,54,105,11,13,1292,2652
"3160, VIC",628,1209,798,548,621,384,179,354,33,28,4243,9014
"3161, VIC",1424,3104,453,632,901,624,111,247,79,53,7645,15271
"3162, VIC",1546,3124,626,773,1110,801,142,308,76,55,8891,17452
"3163, VIC",2381,5717,1599,1500,2230,1553,408,905,172,112,15786,32355
"3165, VIC",2047,3768,1489,1274,1992,1302,393,733,123,84,14431,27636
"3166, VIC",1459,3430,1300,1063,1635,1181,414,802,93,68,12313,23759
"3167, VIC",517,1032,610,435,663,463,229,385,40,41,4851,9259
"3168, VIC",611,2316,868,808,942,709,404,744,64,65,12661,20200
"3169, VIC",730,1662,1277,871,1158,910,761,1217,81,85,11368,20122
"3170, VIC",1154,2188,1088,715,1413,934,469,700,90,59,10557,19370
"3171, VIC",510,1077,1193,897,689,785,1054,1642,91,130,13640,21713
"3172, VIC",1060,1624,1447,962,1401,1199,990,1447,109,90,12767,23091
"3173, VIC",1308,2033,1481,1010,1666,1216,1204,1614,117,114,14027,25785
"3174, VIC",1080,2064,2270,1863,1860,1397,1905,2740,204,203,22880,38465
"3175, VIC",1376,2407,3734,2118,2152,1786,2379,3278,220,251,33596,53297
"3177, VIC",210,282,802,444,351,318,548,775,38,58,7484,11305
"3178, VIC",2336,3790,2536,1632,2984,2187,918,1305,144,111,15727,33669
"3179, VIC",333,614,411,327,424,361,201,244,28,25,3039,6019
"3180, VIC",419,747,540,366,554,389,202,293,32,22,3910,7462
"3181, VIC",2191,4856,894,1133,1447,1029,143,368,131,56,8014,20267
"3182, VIC",2323,5005,1279,1380,1765,1146,221,567,151,82,9457,23394
"3183, VIC",1703,4029,913,1015,1282,880,153,418,131,59,7901,18491
"3184, VIC",1775,3726,746,857,1088,752,115,263,108,38,6085,15547
"3185, VIC",1200,2646,514,570,848,587,103,247,62,40,6116,12932
"3186, VIC",2618,4015,527,784,1223,986,92,259,150,71,12531,23258
"3187, VIC",1593,2524,481,591,939,716,115,205,57,47,8741,15997
"3188, VIC",1917,2811,612,834,1095,800,139,282,69,34,9476,18082
"3189, VIC",409,727,372,272,448,274,92,165,21,31,3076,5894
"3190, VIC",883,1525,554,494,761,516,145,252,40,26,5261,10457
"3191, VIC",1133,1703,348,445,604,430,68,167,41,27,5269,10242
"3192, VIC",1611,2944,1390,1053,1619,1196,345,600,76,70,11389,22292
"3193, VIC",2087,2927,682,771,1268,984,116,286,93,46,10256,19505
"3194, VIC",1080,1884,764,639,981,653,186,311,62,45,6358,12965
"3195, VIC",2886,4989,2206,1838,2758,1909,593,913,187,93,17501,35867
"3196, VIC",1621,2857,1870,1270,1943,1178,573,865,94,89,12969,25329
"3197, VIC",951,1198,842,531,965,595,244,381,70,34,5735,11547
"3198, VIC",823,1372,1364,897,1050,736,539,708,68,72,8827,16462
"3199, VIC",2767,4805,3918,2999,3129,2797,1373,2217,221,185,29882,54299
"3200, VIC",113,152,337,238,176,175,233,360,9,19,3938,5759
"3201, VIC",823,1141,1783,1175,1478,1141,1065,1206,109,70,10736,20713
"3202, VIC",236,349,159,129,220,143,60,105,16,4,1494,2907
"3204, VIC",2566,5037,1352,1381,2080,1410,356,742,140,61,15508,30642
"3205, VIC",1200,2335,366,443,732,404,56,155,70,20,5141,10919
"3206, VIC",1273,2067,248,299,582,394,51,125,70,24,5230,10366
"3207, VIC",2213,3179,595,570,1116,710,152,271,89,46,7233,16180
"3211, VIC",84,84,116,52,95,66,49,64,5,5,697,1319
"3212, VIC",774,1224,1226,995,983,806,678,831,102,65,8972,16650
"3213, VIC",283,286,333,185,250,211,161,237,24,29,2036,4032
"3214, VIC",398,591,1136,1115,697,843,1001,1671,75,101,16333,23960
"3215, VIC",828,1658,1422,1122,1155,973,645,1020,100,57,11629,20615
"3216, VIC",2863,6350,3654,3302,3358,3111,1182,2235,219,141,29874,56285
"3217, VIC",444,810,612,464,414,356,146,244,34,17,3071,6607
"3218, VIC",823,1822,931,855,827,615,360,528,52,40,6592,13438
"3219, VIC",683,1346,1393,1236,945,894,642,1224,68,68,11217,19719
"3220, VIC",1224,2561,840,938,1014,711,225,491,74,27,8250,16352
"3221, VIC",86,85,51,35,40,30,11,29,0,0,383,754
"3222, VIC",719,1137,1138,871,809,620,373,623,59,50,8564,14962
"3223, VIC",292,410,381,298,311,237,146,252,31,15,5030,7401
"3224, VIC",667,991,1105,923,888,703,417,717,57,37,7687,14187
"3225, VIC",249,441,171,144,173,104,43,96,17,13,2603,4058
"3226, VIC",791,1708,1061,849,792,604,220,481,55,45,7559,14161
"3227, VIC",358,672,309,222,234,185,32,112,21,14,2659,4821
"3228, VIC",1315,2439,1187,991,1006,811,208,553,93,48,9290,17939
"3230, VIC",155,295,193,134,134,93,39,90,16,7,1394,2548
"3231, VIC",108,157,95,51,38,43,3,51,10,0,698,1257
"3232, VIC",120,77,89,56,45,47,6,58,3,3,609,1111
"3233, VIC",157,134,155,98,76,77,40,174,4,5,1116,2029
"3234, VIC",21,13,17,4,13,3,0,26,0,0,84,179
"3235, VIC",61,39,32,18,14,18,11,20,0,0,181,380
"3236, VIC",20,27,14,15,9,0,13,17,0,0,123,230
"3237, VIC",44,8,11,16,7,0,4,19,8,5,96,218
"3238, VIC",32,20,9,13,8,9,9,18,0,0,106,219
"3239, VIC",48,21,25,5,16,9,16,39,3,6,234,423
"3240, VIC",182,207,198,106,136,88,51,106,6,14,943,2026
"3241, VIC",199,156,183,110,91,95,105,148,15,11,1457,2565
"3242, VIC",97,60,56,42,46,27,23,41,3,0,432,828
"3243, VIC",81,30,23,15,13,6,10,25,0,0,158,357
"3249, VIC",452,189,175,176,133,98,117,229,16,17,1613,3204
"3250, VIC",543,625,758,697,532,564,412,1086,53,51,6936,12250
"3251, VIC",78,24,31,25,8,14,25,40,0,0,277,522
"3254, VIC",22,6,29,11,10,10,21,33,3,5,166,307
"3260, VIC",470,303,267,222,184,169,140,295,20,17,2681,4768
"3264, VIC",142,120,134,116,92,81,85,130,4,15,1370,2289
"3265, VIC",508,153,126,103,91,80,82,199,12,11,1258,2614
"3266, VIC",403,121,173,103,90,107,124,261,17,11,1652,3071
"3267, VIC",51,11,15,6,6,5,6,26,0,0,116,245
"3268, VIC",459,125,134,73,76,84,71,222,9,7,1346,2601
"3269, VIC",149,36,29,27,19,14,5,64,3,0,376,729
"3270, VIC",34,21,13,13,9,4,0,12,0,0,137,251
"3271, VIC",49,9,6,6,7,0,3,19,0,0,98,193
"3272, VIC",153,71,88,63,57,47,37,98,6,8,922,1533
"3273, VIC",31,0,5,3,0,0,0,8,0,0,85,146
"3274, VIC",47,14,10,4,10,4,6,10,0,0,144,242
"3275, VIC",24,30,41,13,29,31,26,27,7,4,196,426
"3276, VIC",78,16,22,14,26,11,24,38,8,0,242,479
"3277, VIC",209,131,143,80,99,79,74,138,7,13,946,1922
"3278, VIC",34,17,19,13,14,9,16,14,4,0,163,315
"3279, VIC",56,16,17,13,11,8,6,19,0,4,148,291
"3280, VIC",1461,2762,2024,1726,1647,1815,820,2102,86,111,17015,31568
"3281, VIC",182,161,130,72,106,79,60,84,0,4,816,1702
"3282, VIC",147,172,191,134,110,83,92,169,5,9,1250,2363
"3283, VIC",171,106,89,53,63,60,39,77,15,15,662,1361
"3284, VIC",289,299,186,160,127,92,70,153,9,9,2040,3437
"3285, VIC",166,92,52,51,47,36,59,75,8,5,621,1210
"3286, VIC",86,22,20,17,29,7,23,41,0,4,315,564
"3287, VIC",85,23,21,18,14,5,24,45,0,7,196,436
"3289, VIC",124,55,31,22,23,23,13,37,4,3,421,757
"3292, VIC",17,12,3,4,10,3,5,10,0,0,116,187
"3293, VIC",75,12,8,10,11,3,0,15,0,0,168,302
"3294, VIC",190,75,53,30,37,21,10,33,8,0,488,954
"3300, VIC",588,758,700,530,534,509,261,522,21,39,5636,10087
"3301, VIC",231,103,67,44,67,35,22,64,6,0,572,1212
"3302, VIC",56,26,17,19,10,15,11,24,0,0,203,371
"3303, VIC",60,11,17,18,15,4,13,19,0,0,174,338
"3304, VIC",274,100,142,119,94,104,168,161,11,14,1542,2725
"3305, VIC",593,790,886,611,550,466,713,754,47,42,7365,12815
"3309, VIC",16,9,9,5,4,0,5,5,0,0,77,126
"3310, VIC",35,17,18,13,14,8,10,15,3,0,148,272
"3311, VIC",89,82,74,75,63,56,59,103,0,5,1097,1696
"3312, VIC",209,43,40,29,32,27,32,68,0,4,544,1033
"3314, VIC",117,42,31,20,11,15,9,27,0,0,238,525
"3315, VIC",245,80,86,56,55,46,52,95,4,5,900,1629
"3317, VIC",30,14,7,8,12,0,3,16,3,0,99,197
"3318, VIC",181,67,62,55,44,34,37,81,3,5,710,1265
"3319, VIC",76,15,12,14,14,4,13,39,0,0,153,345
"3321, VIC",145,126,144,65,93,58,65,87,3,4,724,1519
"3322, VIC",24,5,12,15,3,0,10,7,0,5,100,176
"3323, VIC",32,4,4,6,3,0,0,5,0,0,43,88
"3324, VIC",80,17,10,18,11,9,23,34,0,3,312,531
"3325, VIC",78,19,24,12,11,7,11,29,0,0,288,480
"3328, VIC",100,139,168,103,93,58,69,102,10,3,878,1720
"3329, VIC",48,16,17,17,10,3,13,8,0,5,155,284
"3330, VIC",33,3,9,7,3,0,11,16,0,0,136,222
"3331, VIC",324,434,561,336,357,282,211,277,30,23,3167,5996
"3332, VIC",64,56,96,40,61,34,52,71,3,3,529,1013
"3333, VIC",90,45,48,36,37,22,35,49,5,4,448,827
"3334, VIC",49,33,28,16,21,12,22,33,0,5,332,566
"3335, VIC",281,482,419,295,469,297,301,237,41,37,2998,5859
"3337, VIC",1290,1613,2477,1935,2295,1635,1980,1709,174,139,21208,36455
"3338, VIC",901,1205,1493,1189,1511,949,1157,1029,113,74,13801,23419
"3340, VIC",1112,1513,1593,1097,1404,904,975,890,116,56,11448,21123
"3341, VIC",111,121,163,87,111,64,87,94,7,3,812,1666
"3342, VIC",202,258,234,166,209,115,119,152,25,15,1948,3440
"3345, VIC",78,89,93,57,72,42,39,43,4,0,626,1151
"3350, VIC",3071,6880,3613,3455,3404,2837,1122,2374,229,158,32006,59147
"3351, VIC",515,525,683,403,434,355,332,449,52,28,4398,8169
"3352, VIC",1162,1324,1229,774,1011,664,536,772,75,53,8393,16000
"3355, VIC",388,722,719,552,573,521,335,708,31,47,8425,13016
"3356, VIC",496,791,1121,943,780,857,502,970,66,59,9738,16322
"3357, VIC",235,475,228,175,211,114,61,107,9,8,2091,3714
"3360, VIC",57,42,38,34,35,19,16,35,3,7,481,765
"3361, VIC",66,19,31,20,18,30,22,27,3,0,441,680
"3363, VIC",165,192,253,153,167,107,88,159,8,15,2176,3476
"3364, VIC",259,179,147,77,115,65,65,110,8,11,1130,2149
"3370, VIC",86,110,121,86,63,56,27,83,5,5,1146,1782
"3371, VIC",47,32,51,43,44,23,32,60,5,7,660,990
"3373, VIC",170,97,112,109,90,68,77,133,4,14,1406,2291
"3374, VIC",41,28,34,29,22,15,11,19,0,0,209,399
"3375, VIC",44,15,7,6,4,3,0,4,0,4,111,206
"3377, VIC",475,512,480,663,320,348,230,680,43,32,5639,9414
"3378, VIC",48,7,0,3,6,0,0,10,0,0,73,149
"3379, VIC",151,26,21,18,19,11,9,41,0,0,509,801
"3380, VIC",269,289,304,395,227,235,189,491,25,16,3597,6033
"3381, VIC",141,111,62,86,52,50,19,61,3,4,620,1211
"3384, VIC",70,21,22,29,33,9,17,20,0,3,317,547
"3385, VIC",66,20,32,27,17,13,22,39,0,5,277,517
"3387, VIC",75,4,10,17,7,9,6,22,0,0,161,315
"3388, VIC",86,39,21,14,17,8,8,25,0,0,333,562
"3390, VIC",84,51,38,45,37,22,31,57,9,3,544,914
"3391, VIC",43,3,7,5,5,0,4,11,0,0,90,172
"3392, VIC",63,15,15,23,18,6,13,34,0,0,387,581
"3393, VIC",208,144,136,167,107,86,59,112,8,9,1636,2684
"3395, VIC",76,13,15,9,10,4,12,11,0,4,209,361
"3396, VIC",84,47,27,37,14,18,33,46,0,7,433,738
"3400, VIC",800,1200,924,787,774,797,355,720,39,40,8098,14541
"3401, VIC",586,325,325,207,262,200,153,233,30,8,2093,4418
"3407, VIC",91,13,22,17,15,3,16,28,0,3,207,422
"3409, VIC",165,63,64,50,34,20,28,53,6,4,452,937
"3412, VIC",37,16,8,23,3,0,5,19,0,0,181,299
"3413, VIC",60,14,13,7,6,0,8,17,0,0,95,220
"3414, VIC",118,96,80,78,57,42,76,82,11,8,1178,1824
"3415, VIC",10,0,0,0,0,0,0,0,0,0,16,40
"3418, VIC",354,145,147,102,125,76,69,244,9,8,1500,2771
"3419, VIC",108,59,37,33,30,28,21,54,0,0,425,806
"3420, VIC",85,11,8,3,11,5,8,20,0,0,136,277
"3423, VIC",39,17,15,21,17,7,9,21,0,0,331,480
"3424, VIC",103,44,22,28,19,11,16,35,5,0,472,769
"3427, VIC",159,201,230,157,251,135,126,129,12,18,1339,2761
"3428, VIC",40,35,59,22,41,38,26,29,0,5,371,680
"3429, VIC",1959,2865,2957,2218,2964,1963,1343,1450,159,93,18336,36296
"3430, VIC",25,8,35,10,15,13,14,25,4,3,166,322
"3431, VIC",256,407,380,270,323,171,97,137,16,6,1881,3945
"3432, VIC",23,10,15,13,13,4,8,7,0,0,106,196
"3433, VIC",17,17,26,6,14,11,11,15,3,0,112,216
"3434, VIC",302,379,452,264,338,202,195,241,26,11,2656,5070
"3435, VIC",186,251,241,154,166,105,95,130,17,11,1537,2878
"3437, VIC",715,1202,803,534,755,449,227,330,43,14,5373,10445
"3438, VIC",202,239,156,142,171,97,58,61,10,0,1267,2386
"3440, VIC",156,294,144,94,101,59,29,54,9,12,1101,2040
"3441, VIC",138,207,70,62,67,40,13,34,5,8,687,1337
"3442, VIC",531,944,474,413,379,272,119,248,37,18,4029,7463
"3444, VIC",629,797,627,462,447,295,197,516,37,31,5173,9197
"3446, VIC",73,98,82,52,39,30,29,71,5,0,538,1028
"3447, VIC",23,43,40,29,23,10,11,25,0,0,249,448
"3448, VIC",80,69,42,53,57,22,31,43,4,4,472,878
"3450, VIC",320,773,306,310,258,216,92,369,19,20,4160,6838
"3451, VIC",275,490,347,275,204,177,116,288,18,14,3447,5654
"3453, VIC",139,189,105,72,84,71,50,95,12,3,910,1725
"3458, VIC",154,202,102,111,81,47,41,82,8,12,1110,1947
"3460, VIC",168,209,152,149,108,85,45,139,10,3,1488,2566
"3461, VIC",341,396,256,228,176,117,69,212,18,8,2326,4150
"3462, VIC",62,89,75,65,48,39,27,62,4,0,705,1173
"3463, VIC",192,185,142,88,99,80,44,120,10,11,1481,2454
"3464, VIC",66,47,77,47,34,55,36,87,3,4,664,1118
"3465, VIC",424,376,564,438,311,376,213,559,21,28,6457,9770
"3467, VIC",74,42,55,41,42,33,35,65,4,4,796,1196
"3468, VIC",21,14,14,9,6,4,12,19,0,0,189,284
"3469, VIC",35,16,9,14,7,6,8,9,0,0,180,278
"3472, VIC",63,49,54,43,34,41,33,91,5,3,1070,1482
"3475, VIC",46,7,8,9,3,8,4,13,0,0,236,348
"3477, VIC",160,42,34,36,30,23,23,56,0,0,421,824
"3478, VIC",180,114,120,116,86,76,62,200,13,6,1478,2457
"3480, VIC",195,101,68,74,68,52,53,105,0,3,1129,1862
"3482, VIC",32,4,4,6,8,3,0,4,0,0,109,169
"3483, VIC",119,67,50,27,30,26,20,37,10,0,505,888
"3485, VIC",48,10,12,13,11,5,6,19,0,0,183,302
"3487, VIC",17,9,6,3,4,0,3,0,0,0,60,96
"3488, VIC",27,9,0,0,0,6,0,3,0,0,62,110
"3489, VIC",13,3,4,0,0,0,0,6,0,0,25,53
"3490, VIC",158,68,66,56,43,34,58,66,0,3,747,1290
"3491, VIC",32,0,0,5,0,9,0,0,0,0,85,133
"3494, VIC",100,9,19,15,15,12,33,131,3,0,324,661
"3496, VIC",470,312,343,249,231,290,222,432,29,28,3612,6224
"3498, VIC",375,357,400,261,327,291,172,256,31,24,2832,5324
"3500, VIC",1490,2356,1722,1634,1493,1579,813,1767,97,131,19645,32738
"3501, VIC",178,158,154,80,132,113,59,88,4,6,950,1939
"3505, VIC",315,260,302,240,249,191,184,252,15,18,2802,4829
"3506, VIC",15,0,0,0,0,0,0,0,0,0,16,37
"3507, VIC",24,4,4,6,7,3,0,0,0,0,104,157
"3509, VIC",57,14,8,12,4,4,6,8,0,0,121,231
"3512, VIC",76,20,13,7,15,10,15,23,0,0,190,371
"3515, VIC",118,147,166,103,115,74,83,102,10,0,1022,1940
"3516, VIC",99,31,30,31,34,23,29,41,5,6,376,694
"3517, VIC",119,40,61,61,44,32,30,78,4,5,944,1416
"3518, VIC",109,40,41,38,43,30,35,51,8,4,908,1307
"3520, VIC",16,5,0,0,0,0,0,4,0,0,153,179
"3521, VIC",40,26,66,32,40,17,33,34,0,3,359,660
"3522, VIC",41,16,25,15,18,9,12,18,0,0,188,334
"3523, VIC",174,155,201,120,118,112,119,151,8,13,2443,3619
"3525, VIC",144,78,54,43,54,38,34,71,4,8,769,1302
"3527, VIC",98,38,27,21,26,25,21,44,4,0,476,785
"3529, VIC",26,9,5,3,10,0,0,3,0,0,65,120
"3530, VIC",24,9,4,5,6,4,4,3,0,4,74,125
"3531, VIC",36,9,7,3,0,0,9,5,0,0,126,191
"3533, VIC",72,38,35,30,27,27,19,35,4,7,496,779
"3537, VIC",145,57,34,33,24,25,33,52,5,8,633,1042
"3540, VIC",44,14,10,5,10,8,3,20,0,0,184,286
"3542, VIC",33,0,7,9,5,0,8,11,0,0,84,155
"3544, VIC",46,13,10,7,12,11,5,8,0,0,142,249
"3546, VIC",68,32,8,15,4,7,19,18,0,5,226,403
"3549, VIC",300,134,121,93,118,79,138,290,16,41,2189,3527
"3550, VIC",1828,4301,2232,2255,2080,1910,838,1995,156,97,22639,40341
"3551, VIC",1880,3019,2213,1601,2004,1436,853,1317,107,87,15056,29564
"3555, VIC",768,1347,1203,1061,990,909,529,1258,88,50,11487,19688
"3556, VIC",433,675,867,680,597,570,440,829,46,41,7899,13087
"3557, VIC",78,39,60,29,47,29,27,45,7,0,414,785
"3558, VIC",111,37,53,25,37,29,36,49,3,0,542,916
"3559, VIC",100,31,16,16,24,12,21,28,0,3,287,545
"3561, VIC",444,197,245,171,174,163,183,263,11,22,2569,4434
"3562, VIC",37,4,22,8,19,11,8,16,0,3,154,278
"3563, VIC",100,25,44,36,24,27,39,71,0,0,436,808
"3564, VIC",931,1081,1103,936,722,838,461,942,33,70,8828,15944
"3565, VIC",19,6,3,3,3,7,3,5,0,0,62,107
"3566, VIC",78,21,25,22,21,22,15,41,0,0,301,556
"3567, VIC",124,21,31,20,19,15,24,46,0,0,360,654
"3568, VIC",324,145,165,98,123,107,98,167,9,8,1700,2948
"3570, VIC",71,32,47,30,34,24,27,50,0,5,439,752
"3571, VIC",73,11,10,5,15,7,8,20,0,0,174,319
"3572, VIC",41,7,0,3,4,12,0,11,0,0,71,151
"3573, VIC",64,8,18,4,12,4,10,24,0,0,189,331
"3575, VIC",121,37,27,25,20,11,23,58,0,8,466,807
"3576, VIC",22,0,0,3,3,0,0,0,0,0,40,72
"3579, VIC",495,273,298,230,219,196,151,323,8,14,3148,5362
"3580, VIC",50,35,57,41,38,47,38,84,3,5,587,990
"3581, VIC",25,5,10,4,13,8,4,5,5,0,92,163
"3583, VIC",19,8,13,10,11,7,5,14,0,0,118,208
"3584, VIC",85,62,61,52,42,42,24,49,0,9,704,1139
"3585, VIC",703,802,677,537,572,547,266,615,38,39,6405,11205
"3586, VIC",82,44,56,45,52,42,18,48,6,4,426,825
"3588, VIC",15,14,33,28,19,17,10,19,0,0,195,359
"3589, VIC",56,12,13,8,11,14,9,25,0,0,187,347
"3590, VIC",20,20,27,14,22,21,4,19,0,0,184,335
"3591, VIC",30,16,7,3,7,7,0,7,0,6,72,164
"3594, VIC",32,24,29,31,9,20,22,34,3,4,328,529
"3595, VIC",30,15,23,20,11,20,16,39,4,0,485,665
"3596, VIC",13,0,0,3,6,0,3,9,0,0,59,96
"3597, VIC",77,13,22,6,12,8,18,38,3,0,210,413
"3599, VIC",18,0,3,0,0,4,5,10,0,0,90,133
"3607, VIC",9,3,9,8,8,6,3,11,0,0,77,136
"3608, VIC",217,124,166,94,97,71,62,188,13,6,1377,2417
"3610, VIC",138,79,73,63,53,50,36,74,12,4,1133,1714
"3612, VIC",113,76,88,71,49,44,68,101,3,11,1094,1708
"3614, VIC",82,88,80,40,62,33,24,58,0,0,419,882
"3616, VIC",384,343,312,202,273,193,155,384,16,28,3068,5353
"3617, VIC",36,10,3,11,7,8,6,8,0,0,75,163
"3618, VIC",58,31,42,36,21,21,27,67,3,4,377,675
"3620, VIC",520,489,531,344,368,316,234,526,33,23,4858,8241
"3621, VIC",215,88,141,89,78,99,81,222,6,5,1346,2368
"3622, VIC",72,25,22,10,25,17,21,35,0,7,233,456
"3623, VIC",104,28,50,31,31,21,19,75,0,0,539,903
"3624, VIC",72,20,29,12,23,15,23,42,0,3,333,558
"3629, VIC",481,478,517,426,439,387,315,661,22,47,5364,9130
"3630, VIC",1338,2293,1669,1382,1364,1334,850,1735,99,116,19101,31266
"3631, VIC",1039,1077,793,546,784,617,299,575,27,52,5803,11610
"3633, VIC",42,44,41,28,37,28,24,30,0,0,327,604
"3634, VIC",216,130,129,79,110,72,66,121,4,13,859,1798
"3635, VIC",50,39,49,25,23,12,28,40,0,0,267,536
"3636, VIC",379,279,285,253,213,204,186,353,11,33,3047,5241
"3637, VIC",117,23,30,27,21,25,27,46,0,6,276,593
"3638, VIC",175,120,105,91,99,79,58,151,8,12,1168,2075
"3639, VIC",64,26,41,27,16,12,19,41,0,4,281,524
"3640, VIC",172,40,56,26,33,23,34,92,3,0,512,1000
"3641, VIC",118,27,67,51,46,42,47,129,5,3,697,1233
"3646, VIC",83,54,38,19,24,16,12,35,0,0,307,586
"3647, VIC",4,9,0,0,0,0,0,13,0,0,26,40
"3649, VIC",62,18,12,17,25,7,17,37,0,4,234,431
"3658, VIC",288,310,504,317,322,260,302,419,33,18,3454,6221
"3659, VIC",50,60,49,31,41,26,25,47,3,0,397,734
"3660, VIC",346,351,480,392,349,291,223,546,17,28,4554,7577
"3662, VIC",138,64,17,255,31,10,51,13,14,0,476,1075
"3663, VIC",19,9,9,8,13,3,12,16,0,0,95,180
"3664, VIC",103,64,72,53,51,29,30,91,3,9,573,1072
"3665, VIC",29,20,14,17,17,4,12,22,0,6,209,357
"3666, VIC",414,296,263,193,169,157,126,291,16,11,2757,4700
"3669, VIC",168,97,74,66,46,33,30,57,3,0,763,1337
"3670, VIC",49,27,55,28,23,27,26,35,3,4,298,571
"3672, VIC",481,629,630,511,435,391,306,542,36,29,6339,10330
"3673, VIC",209,128,117,64,94,49,50,98,8,16,904,1729
"3675, VIC",182,179,119,94,86,82,52,112,3,7,894,1803
"3677, VIC",744,1380,1052,1002,898,888,533,937,64,42,10560,18101
"3678, VIC",734,562,464,307,353,216,209,304,25,25,3151,6357
"3682, VIC",78,36,35,23,31,18,24,44,5,6,319,616
"3683, VIC",96,108,136,87,95,81,76,115,3,8,946,1760
"3685, VIC",221,190,177,128,141,81,85,215,5,9,1461,2718
"3687, VIC",67,55,76,45,47,38,38,102,0,0,617,1098
"3688, VIC",93,112,91,68,80,52,73,69,12,8,578,1237
"3690, VIC",1533,2434,2366,1954,1941,1630,1193,1839,148,100,18380,33522
"3694, VIC",13,7,19,16,13,0,4,0,0,0,20,92
"3695, VIC",66,34,30,25,25,18,17,20,4,3,227,472
"3697, VIC",62,39,37,33,25,15,22,28,4,3,309,575
"3698, VIC",74,72,61,47,35,42,25,23,0,0,476,862
"3699, VIC",66,62,73,75,42,38,25,85,3,0,660,1124
"3700, VIC",104,90,93,55,61,37,40,77,3,8,743,1317
"3701, VIC",185,52,49,33,32,25,39,54,0,9,590,1075
"3704, VIC",3,0,0,5,0,0,0,0,0,0,7,20
"3705, VIC",44,14,14,7,20,12,5,9,0,4,134,261
"3708, VIC",11,0,4,0,7,4,0,3,0,0,29,58
"3709, VIC",63,20,13,10,13,3,9,18,0,0,146,295
"3711, VIC",33,20,45,21,26,16,22,26,5,0,282,493
"3712, VIC",36,19,27,15,17,4,11,28,0,0,188,353
"3713, VIC",52,35,59,74,34,35,12,57,7,6,664,1026
"3714, VIC",261,212,243,184,178,110,102,165,18,15,2035,3512
"3715, VIC",41,17,27,14,8,0,3,20,0,0,179,308
"3717, VIC",208,179,193,114,108,86,67,134,7,11,1548,2654
"3718, VIC",15,9,0,0,0,0,0,9,0,0,35,72
"3719, VIC",54,22,18,18,20,6,7,16,0,0,199,371
"3720, VIC",42,22,36,28,27,19,13,36,0,3,336,569
"3722, VIC",355,358,415,279,242,257,117,273,23,18,2684,5020
"3723, VIC",266,204,172,130,108,104,71,167,14,11,1766,3003
"3725, VIC",70,32,44,25,34,20,17,46,0,3,330,631
"3726, VIC",75,15,15,11,17,4,9,19,3,3,228,404
"3727, VIC",35,14,18,5,5,8,10,16,0,5,192,305
"3728, VIC",69,21,26,20,28,25,33,42,5,0,366,635
"3730, VIC",453,457,559,435,337,325,201,477,27,30,5541,8831
"3732, VIC",80,42,37,28,24,14,20,30,0,0,309,595
"3733, VIC",22,25,6,8,14,4,0,17,0,0,113,219
"3735, VIC",98,44,38,32,26,16,22,46,0,3,280,609
"3737, VIC",252,258,304,207,163,197,196,247,22,15,2441,4302
"3738, VIC",16,14,15,6,11,12,16,17,0,0,103,222
"3739, VIC",30,8,13,16,6,0,7,15,0,0,104,215
"3740, VIC",117,73,91,65,47,35,20,60,4,7,551,1075
"3741, VIC",243,199,198,158,134,142,65,185,15,13,1745,3098
"3744, VIC",34,34,32,29,18,17,4,31,4,3,248,453
"3746, VIC",19,25,38,21,16,11,14,15,0,0,228,385
"3747, VIC",343,528,254,282,174,149,80,187,15,16,2592,4628
"3749, VIC",154,231,126,91,103,53,45,90,14,0,981,1889
"3750, VIC",395,755,585,468,585,402,504,421,32,34,4878,9060
"3751, VIC",14,8,17,7,16,14,10,17,4,3,164,272
"3752, VIC",1289,2111,1700,1322,1910,1414,875,1013,121,72,12237,24057
"3753, VIC",140,156,193,131,191,97,90,87,16,7,1223,2328
"3754, VIC",2170,3257,3059,2223,2894,1892,1191,1471,177,124,19300,37758
"3755, VIC",27,15,26,6,13,15,6,14,0,0,127,251
"3756, VIC",581,694,1061,586,880,563,597,543,65,33,6320,11926
"3757, VIC",488,601,878,461,560,368,276,372,36,33,4876,8955
"3758, VIC",126,137,263,107,152,83,108,102,15,3,1095,2182
"3759, VIC",91,130,112,56,73,47,14,39,13,0,484,1062
"3760, VIC",35,48,34,19,34,18,3,22,0,0,153,372
"3761, VIC",75,146,122,64,92,43,27,41,8,0,610,1230
