OCCP - 1 Digit Level,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
"2131, NSW",1264,3760,1301,1373,1640,1029,463,1168,137,100,11613,23839
"2132, NSW",688,1684,462,431,730,450,170,304,52,47,5594,10613
"2133, NSW",678,1433,641,483,863,541,264,377,48,38,5656,11014
"2134, NSW",765,2058,716,779,906,812,241,689,113,103,8848,16033
"2135, NSW",1446,4235,1260,1090,1669,1246,358,1041,188,143,12569,25252
"2136, NSW",428,1008,422,318,592,332,184,244,30,43,3763,7367
"2137, NSW",2389,4102,1264,993,2117,1222,361,644,170,108,13136,26507
"2138, NSW",1576,3649,833,713,1440,905,223,394,100,91,10100,20022
"2139, NSW",0,6,0,0,0,0,0,0,0,0,44,55
"2140, NSW",785,2470,901,784,1049,749,392,830,136,84,7990,16161
"2141, NSW",1080,2620,2111,1208,1624,1099,924,1780,206,243,15774,28675
"2142, NSW",852,2121,1488,1168,1404,1010,950,1452,152,153,15552,26297
"2143, NSW",329,653,502,335,521,324,325,494,49,51,5342,8920
"2144, NSW",899,1932,2682,1492,1291,1477,1295,2530,194,288,23295,37370
"2145, NSW",3793,9574,3961,2911,5887,3015,2543,2820,430,309,43960,79213
"2146, NSW",801,1945,1036,771,1461,656,618,763,123,57,9244,17467
"2147, NSW",1792,3502,2394,1597,2823,1498,1418,1568,194,152,19402,36346
"2148, NSW",2428,4751,3943,2942,4489,2608,3348,3316,346,273,34641,63074
"2150, NSW",1541,5428,1381,1220,2051,1301,903,1292,217,147,16028,31500
"2151, NSW",1266,3054,1070,860,1638,794,485,520,107,73,11432,21308
"2152, NSW",725,1707,580,445,845,411,287,308,72,45,5794,11218
"2153, NSW",4410,8578,2979,2285,4745,2534,929,1332,304,193,28268,56556
"2154, NSW",3609,5995,1774,1488,2926,1894,474,794,214,102,20322,39594
"2155, NSW",4812,7847,3054,2386,4817,2956,1068,1446,326,173,26564,55447
"2156, NSW",1364,1573,791,475,1060,653,184,305,72,43,6425,12941
"2157, NSW",383,332,333,138,263,162,83,153,19,17,1863,3741
"2158, NSW",843,1078,490,330,652,400,116,233,35,37,4356,8579
"2159, NSW",447,573,384,196,367,215,79,172,31,17,2501,4976
"2160, NSW",1240,2252,2239,1413,2050,1359,1261,1593,209,172,22175,35971
"2161, NSW",894,1502,1894,1118,1601,939,1086,1191,176,171,20848,31420
"2162, NSW",543,1054,984,723,983,605,708,784,100,89,12035,18622
"2163, NSW",134,316,415,315,355,217,371,449,42,42,6945,9592
"2164, NSW",607,1014,1175,718,1169,685,895,835,95,86,12336,19626
"2165, NSW",875,1765,2020,1371,1767,1297,1637,2068,224,221,29190,42438
"2166, NSW",1216,2209,2409,2134,2003,1731,2534,3643,303,332,34254,52768
"2167, NSW",370,1011,555,465,736,339,415,411,49,26,5257,9637
"2168, NSW",1045,1845,2305,1627,2236,1432,2135,2315,261,235,28022,43451
"2170, NSW",3769,6985,5943,4149,6392,3667,4389,4376,569,427,64784,105455
"2171, NSW",1831,2988,2382,1402,2864,1696,1497,1394,231,137,18448,34865
"2172, NSW",254,385,196,152,261,119,52,74,21,10,1248,2779
"2173, NSW",868,1673,1098,1020,1399,625,494,477,83,42,6647,14432
"2174, NSW",121,250,127,91,146,99,101,78,19,8,1225,2267
"2175, NSW",125,108,143,52,150,84,71,71,14,9,1006,1837
"2176, NSW",1901,3242,2933,1728,3231,1957,1930,2220,285,216,28179,47812
"2177, NSW",470,868,971,567,902,617,831,850,78,45,9779,15980
"2178, NSW",374,235,338,137,327,164,176,180,22,27,2254,4234
"2179, NSW",469,382,443,201,425,251,289,243,30,39,3760,6529
"2190, NSW",861,1533,1317,827,1304,970,777,847,102,105,16927,25571
"2191, NSW",339,556,392,249,490,282,155,246,35,24,3554,6317
"2192, NSW",434,881,723,629,774,519,465,674,70,56,7496,12713
"2193, NSW",982,2104,912,730,1129,664,335,675,77,51,7586,15254
"2194, NSW",885,1785,1634,1345,1267,1191,826,1745,122,181,13552,24538
"2195, NSW",591,1321,1118,1189,931,1060,1323,1440,167,152,17865,27148
"2196, NSW",1105,1848,1759,1243,1702,1276,1208,1326,136,166,20053,31813
"2197, NSW",293,533,516,352,519,326,318,343,52,37,5779,9067
"2198, NSW",444,647,497,338,598,387,275,258,41,37,5504,9039
"2199, NSW",541,1064,965,682,1011,638,653,757,90,70,11542,18016
"2200, NSW",1345,2746,2165,1908,2090,1645,1581,1954,218,211,27816,43688
"2203, NSW",1118,2659,698,647,1059,581,227,391,54,49,6217,13707
"2204, NSW",1850,4748,1468,1314,1786,1080,475,955,128,100,12603,26499
"2205, NSW",1190,2602,1078,996,1419,956,546,1066,113,114,9368,19447
